RSU,MSE
RSU_0,1.1289787009098214e-05
RSU_1,8.609966542031351e-06
RSU_10,1.7128800176393914e-05
RSU_11,5.735876115383196e-06
RSU_12,8.702605829451598e-06
RSU_2,5.9394799604772215e-06
RSU_3,9.32403638331168e-06
RSU_4,7.1826530398524636e-06
RSU_5,4.51938803912866e-06
RSU_6,6.3840346785341585e-06
RSU_7,1.2098925273870713e-05
RSU_8,6.116895761179027e-06
RSU_9,7.763034802435885e-06
