RSU,MSE
RSU_0,2.818094976212576e-06
RSU_1,2.818094976212576e-06
RSU_2,2.818094976212576e-06
RSU_3,2.818094976212576e-06
RSU_4,2.818094976212576e-06
RSU_5,2.818094976212576e-06
