RSU,MSE,ROUND
11,4.4400319893611595e-05,1
6,4.52392669103574e-05,1
1,4.4676380639430135e-05,1
5,4.06644721806515e-05,1
0,5.565748506342061e-05,1
2,3.91640787711367e-05,1
10,6.758329254807904e-05,1
9,4.361202081781812e-05,1
4,4.4593583879759535e-05,1
3,4.61667514173314e-05,1
7,5.816370321554132e-05,1
12,4.517048364505172e-05,1
8,4.4819760660175234e-05,1
5,1.3441588635032531e-05,2
7,2.8651380489463918e-05,2
1,1.8349141100770794e-05,2
11,1.6948426491580904e-05,2
9,1.9270513803348877e-05,2
0,2.609949660836719e-05,2
12,1.9195631466573104e-05,2
8,1.7183239833684638e-05,2
10,3.983857459388673e-05,2
6,1.809475725167431e-05,2
4,1.7986714738071896e-05,2
2,1.5238380910886917e-05,2
3,2.0405277609825134e-05,2
2,1.3703724107472226e-05,3
5,1.1618885764619336e-05,3
6,1.587397673574742e-05,3
8,1.5203429029497784e-05,3
1,1.7462392861489207e-05,3
12,1.821983460104093e-05,3
0,2.4747700081206858e-05,3
10,3.870235013891943e-05,3
3,1.943819734151475e-05,3
7,2.7203281206311658e-05,3
9,1.8122076653526165e-05,3
4,1.6896055967663415e-05,3
11,1.4396469850908034e-05,3
0,2.294708428962622e-05,4
7,2.465562465658877e-05,4
5,9.253925782104488e-06,4
11,1.1730074220395181e-05,4
9,1.619933027541265e-05,4
1,1.6913101717364043e-05,4
8,1.2591013728524558e-05,4
4,1.4887149518472143e-05,4
10,3.538358578225598e-05,4
12,1.752123534970451e-05,4
3,1.8650400306796655e-05,4
6,1.311894811806269e-05,4
2,1.247700765816262e-05,4
12,1.733489625621587e-05,5
8,1.2579459507833235e-05,5
5,9.268144822272006e-06,5
2,1.2421257451933343e-05,5
11,1.1807679584308062e-05,5
3,1.8474225726095028e-05,5
9,1.613129825273063e-05,5
10,3.522109182085842e-05,5
6,1.312388303631451e-05,5
7,2.4590142857050523e-05,5
1,1.6750100257922895e-05,5
4,1.4832746273896191e-05,5
0,2.2849568267702125e-05,5
