RSU,MSE,ROUND
12,1.0431851478642784e-05,1
6,9.154657163890079e-06,1
9,1.0378541446698364e-05,1
3,1.099787277780706e-05,1
2,8.782530130702071e-06,1
4,9.710961421660613e-06,1
11,8.591670848545618e-06,1
0,1.2018082088616211e-05,1
10,1.6859577954164706e-05,1
1,1.022605283651501e-05,1
7,1.309088747802889e-05,1
8,8.873058504832443e-06,1
5,7.718151209701318e-06,1
8,4.20832475356292e-06,2
12,6.234265583771048e-06,2
7,8.16554074845044e-06,2
4,5.181023425393505e-06,2
2,4.5076471906213555e-06,2
0,7.5899711191596e-06,2
5,3.2180525977310026e-06,2
6,4.345056368038058e-06,2
3,6.672965810139431e-06,2
9,5.7132078836730216e-06,2
10,1.139480900747003e-05,2
11,3.8659195524815004e-06,2
1,6.0654879234789405e-06,2
5,2.82994096778566e-06,3
1,5.3401608965941705e-06,3
10,1.0900182132900227e-05,3
2,3.869579813908786e-06,3
9,5.098088422528235e-06,3
3,5.926711310166866e-06,3
8,3.844678758468945e-06,3
7,7.68800327932695e-06,3
0,7.048322004266083e-06,3
4,4.646943125408143e-06,3
12,5.5129580687207635e-06,3
11,3.558870730557828e-06,3
6,3.9954074964043684e-06,3
5,3.027932962140767e-06,4
9,5.2881837291351985e-06,4
2,4.028300281788688e-06,4
12,5.6442086133756675e-06,4
3,6.066371952329064e-06,4
1,5.479876563185826e-06,4
4,4.838003860641038e-06,4
7,7.872061360103544e-06,4
6,4.193969289190136e-06,4
11,3.7616784993588226e-06,4
8,4.041222837258829e-06,4
0,7.186287348304177e-06,4
10,1.1082605851697735e-05,4
10,1.0968500646413304e-05,5
0,6.99010115567944e-06,5
8,3.876175014738692e-06,5
3,5.747592240368249e-06,5
12,5.317579962138552e-06,5
9,5.001452791475458e-06,5
11,3.593027031456586e-06,5
6,4.0273616832564585e-06,5
1,5.1389615691732615e-06,5
5,2.836937028405373e-06,5
2,3.6948338220099686e-06,5
7,7.728306627541315e-06,5
4,4.6028339966142084e-06,5
