RSU,MSE,ROUND
0,1.7355654563289136e-05,1
10,2.468997445248533e-05,1
9,1.5141589756240137e-05,1
6,1.2744292689603753e-05,1
8,1.2346163202892058e-05,1
11,1.178429647552548e-05,1
7,1.8765776985674165e-05,1
1,1.4873029613227118e-05,1
3,1.6065139789134264e-05,1
5,1.067369885277003e-05,1
12,1.5210758647299372e-05,1
2,1.2763982340402436e-05,1
4,1.3945120372227393e-05,1
6,6.562805083376588e-06,2
3,9.170092198473867e-06,2
5,4.612509201251669e-06,2
12,8.49955904413946e-06,2
0,1.1301867743895855e-05,2
9,8.041054570639972e-06,2
1,8.196221642720047e-06,2
7,1.2517160030256491e-05,2
2,5.914837402087869e-06,2
10,1.7813581507652998e-05,2
8,6.314756774372654e-06,2
4,7.406875283777481e-06,2
11,5.833563136548037e-06,2
10,1.713303936412558e-05,3
1,8.245342542068101e-06,3
9,7.89473870099755e-06,3
11,5.609780600934755e-06,3
5,4.432272362464573e-06,3
8,6.048556770110736e-06,3
3,9.158186003332958e-06,3
12,8.519397852069233e-06,3
7,1.204174623126164e-05,3
2,5.983554274280323e-06,3
4,7.2283132794837e-06,3
0,1.1041392099286895e-05,3
6,6.289165412454167e-06,3
10,1.71245337696746e-05,4
5,4.418970547703793e-06,4
11,5.603643330687191e-06,4
7,1.203515421366319e-05,4
3,9.121012226387393e-06,4
8,6.03447733737994e-06,4
6,6.277682587096933e-06,4
2,5.945220891589997e-06,4
12,8.47348383103963e-06,4
0,1.101502130040899e-05,4
1,8.199238436645828e-06,4
9,7.87186945672147e-06,4
4,7.209106115624309e-06,4
10,1.7260468666790985e-05,5
7,1.2094463272660505e-05,5
9,7.768125215079635e-06,5
12,8.245631761383265e-06,5
2,5.737012543249875e-06,5
0,1.0968696187774185e-05,5
6,6.313830908766249e-06,5
8,6.0646948440989945e-06,5
11,5.633599357679486e-06,5
3,8.89844523044303e-06,5
4,7.144705705286469e-06,5
1,7.953112799441442e-06,5
5,4.409846496855607e-06,5
