RSU,MSE,ROUND
8,2.022545231739059e-05,1
10,3.995711449533701e-05,1
9,2.1802636183565482e-05,1
11,1.938924651767593e-05,1
4,2.1276566258165985e-05,1
12,2.307623981323559e-05,1
0,2.9979808459756896e-05,1
6,2.0403795133461244e-05,1
3,2.415214476059191e-05,1
1,2.2503736545331776e-05,1
2,1.825170147640165e-05,1
5,1.69266731973039e-05,1
7,3.138491229037754e-05,1
7,2.3528711608378217e-05,2
9,1.5735009583295323e-05,2
8,1.3352661881071981e-05,2
10,3.2490916055394337e-05,2
12,1.611125117051415e-05,2
0,2.133951238647569e-05,2
11,1.3046209460298996e-05,2
2,1.222806349687744e-05,2
4,1.4704060959047638e-05,2
1,1.5537196304649115e-05,2
6,1.4056313375476748e-05,2
3,1.7231537640327588e-05,2
5,1.0367337381467223e-05,2
9,1.452945070923306e-05,3
0,2.0147859686403535e-05,3
1,1.4212833775673062e-05,3
11,1.1466443538665771e-05,3
7,2.2294749214779586e-05,3
3,1.5918938515824266e-05,3
8,1.2169185538368765e-05,3
10,3.1695195502834395e-05,3
6,1.266679828404449e-05,3
2,1.0871898666664492e-05,3
5,9.183409019897226e-06,3
4,1.3509277778211981e-05,3
12,1.4853567336103879e-05,3
7,2.0490404494921677e-05,4
0,1.9111921574221924e-05,4
8,1.039752532960847e-05,4
3,1.5738683941890486e-05,4
5,7.638519491592888e-06,4
12,1.481157960370183e-05,4
6,1.0846420991583727e-05,4
9,1.3517334991774987e-05,4
2,1.0570924132480286e-05,4
4,1.2361563676677179e-05,4
11,9.71922418102622e-06,4
10,2.9387229005806148e-05,4
1,1.432669068890391e-05,4
7,2.0484325432335027e-05,5
11,9.731124919198919e-06,5
4,1.2225354112160858e-05,5
9,1.3283050066092983e-05,5
6,1.0871791346289683e-05,5
5,7.610863576701377e-06,5
0,1.897710535558872e-05,5
10,2.94111614493886e-05,5
2,1.0204186764894985e-05,5
3,1.539469485578593e-05,5
12,1.4413204553420655e-05,5
8,1.0411713446956128e-05,5
1,1.3934671187598724e-05,5
