RSU,MSE,ROUND
6,4.5452252379618585e-06,1
8,4.4091366362408735e-06,1
11,4.1914677240129095e-06,1
1,5.611270353256259e-06,1
10,8.339981832250487e-06,1
9,5.694513220078079e-06,1
3,6.024955382599728e-06,1
2,4.983828148397151e-06,1
0,6.046021553629544e-06,1
4,5.103926014271565e-06,1
7,6.388325346051715e-06,1
5,3.929874765162822e-06,1
12,5.7351653595105745e-06,1
6,1.8206389995611971e-06,2
12,2.3654793039895594e-06,2
3,2.564648639236111e-06,2
11,1.6206646478167386e-06,2
10,4.909983545076102e-06,2
5,1.2865624512414797e-06,2
7,3.477818609098904e-06,2
0,3.1177819437289145e-06,2
8,1.7504166862636339e-06,2
2,1.641091671444883e-06,2
9,2.245479890916613e-06,2
1,2.2851338599139126e-06,2
4,2.063036617983016e-06,2
5,1.1672045729937963e-06,3
7,3.187788934155833e-06,3
6,1.6507274267496541e-06,3
2,1.5592100908179418e-06,3
11,1.470694201088918e-06,3
4,1.909683760459302e-06,3
8,1.589680209690414e-06,3
12,2.2394392544811126e-06,3
1,2.165069190596114e-06,3
9,2.08970641324413e-06,3
0,2.888955805246951e-06,3
3,2.4196694994316204e-06,3
10,4.522438302956289e-06,3
0,3.16154023494164e-06,4
8,1.875252337413258e-06,4
4,2.2505153083329787e-06,4
5,1.4770357665838674e-06,4
11,1.7507389884485747e-06,4
7,3.4369140848866664e-06,4
2,1.9677238469739677e-06,4
3,2.821594989654841e-06,4
10,4.7657263166911434e-06,4
6,1.940071797434939e-06,4
1,2.568717491158168e-06,4
12,2.6358943614468444e-06,4
9,2.4743744688748848e-06,4
3,2.3478226012230152e-06,5
8,1.5882955040069646e-06,5
11,1.469781864216202e-06,5
2,1.491963871558255e-06,5
1,2.088180735881906e-06,5
9,2.048036094493e-06,5
0,2.8670308438449865e-06,5
4,1.8803557395585813e-06,5
12,2.162485316148377e-06,5
7,3.195530553057324e-06,5
6,1.6533854250155855e-06,5
5,1.1575924645512714e-06,5
10,4.563256879919209e-06,5
