RSU,MSE,ROUND
34,6.440923607442528e-05,1
8,1.5238877494994085e-05,1
18,6.31443181191571e-05,1
19,1.5238877494994085e-05,1
27,6.882264278829098e-05,1
11,6.0634149122051895e-05,1
3,4.751924643642269e-05,1
24,9.385056182509288e-05,1
7,9.436051914235577e-05,1
37,9.818541002459824e-05,1
10,7.384957280009985e-05,1
17,6.49830253678374e-05,1
22,0.00012107071961509064,1
31,6.964154454180971e-05,1
35,7.936642941785976e-05,1
26,8.958804392023012e-05,1
23,1.5238877494994085e-05,1
28,1.5238877494994085e-05,1
29,6.325059803202748e-05,1
0,7.183230627560988e-05,1
13,1.5238877494994085e-05,1
32,1.5238877494994085e-05,1
6,1.5238877494994085e-05,1
9,1.5238877494994085e-05,1
4,7.571700552944094e-05,1
2,1.5238877494994085e-05,1
38,1.5238877494994085e-05,1
12,2.8743421353283338e-05,1
1,3.8118669181130826e-05,1
39,4.5415086788125336e-05,1
14,1.5238877494994085e-05,1
36,4.4951328163733706e-05,1
5,0.00010354766709497198,1
30,5.797187259304337e-05,1
33,7.523295789724216e-05,1
15,7.401730545097962e-05,1
16,2.8660319003392942e-05,1
21,6.305296847131103e-05,1
25,8.726707164896652e-05,1
20,1.5238877494994085e-05,1
18,6.707762804580852e-05,2
30,7.01202661730349e-05,2
12,2.7761690944316797e-05,2
0,7.559327787021175e-05,2
5,0.00012495301780290902,2
25,8.277405140688643e-05,2
36,6.44104802631773e-05,2
17,6.865487375762314e-05,2
38,1.1154347703268286e-06,2
15,6.693945761071518e-05,2
4,6.810291233705357e-05,2
39,6.75290502840653e-05,2
28,1.1154347703268286e-06,2
35,7.012403511907905e-05,2
29,7.061382348183542e-05,2
10,6.540951289935037e-05,2
9,1.1154347703268286e-06,2
19,1.1154347703268286e-06,2
34,7.076197653077543e-05,2
3,6.054901677998714e-05,2
27,9.867257176665589e-05,2
13,1.1154347703268286e-06,2
24,0.0001239301054738462,2
33,6.663842941634357e-05,2
11,6.420268618967384e-05,2
2,1.1154347703268286e-06,2
7,8.087691821856424e-05,2
16,2.3222941308631562e-05,2
31,6.544360803673044e-05,2
22,0.00015002425061538815,2
32,1.1154347703268286e-06,2
21,6.658024358330294e-05,2
8,1.1154347703268286e-06,2
6,1.1154347703268286e-06,2
26,9.308501466875896e-05,2
1,3.0313240131363273e-05,2
14,1.1154347703268286e-06,2
37,0.0001273136876989156,2
23,1.1154347703268286e-06,2
20,1.1154347703268286e-06,2
27,6.781074625905603e-05,3
7,3.2501226087333634e-05,3
9,9.562068470359009e-09,3
21,2.293154102517292e-05,3
34,6.555429717991501e-05,3
28,9.562068470359009e-09,3
0,3.122387352050282e-05,3
11,2.0543380742310546e-05,3
1,2.9139084290363826e-05,3
15,2.144176687579602e-05,3
29,2.7781417884398252e-05,3
26,8.816019544610754e-05,3
14,9.562068470359009e-09,3
3,4.838065797230229e-05,3
2,9.562068470359009e-09,3
5,0.00011092066415585577,3
17,2.4843400751706213e-05,3
13,9.562068470359009e-09,3
33,2.0944786228938028e-05,3
19,9.562068470359009e-09,3
37,9.520624007564038e-05,3
30,2.9345881557674147e-05,3
24,9.824385051615536e-05,3
35,2.3541228074464016e-05,3
12,2.5700977857923135e-05,3
16,2.1540899979299866e-05,3
22,0.00012074554979335517,3
6,9.562068470359009e-09,3
23,9.562068470359009e-09,3
8,9.562068470359009e-09,3
20,9.562068470359009e-09,3
4,2.2080652342992835e-05,3
36,3.058239599340595e-05,3
39,2.8945079975528643e-05,3
31,2.087587199639529e-05,3
38,9.562068470359009e-09,3
10,1.991952012758702e-05,3
25,8.719130710233003e-05,3
32,9.562068470359009e-09,3
18,2.3745797079754993e-05,3
29,2.404589031357318e-05,4
0,2.776737710519228e-05,4
2,2.3554025574412663e-07,4
28,2.3554025574412663e-07,4
3,4.389567402540706e-05,4
24,9.027798660099506e-05,4
35,2.172202948713675e-05,4
16,2.0669698642450385e-05,4
12,2.4034643502091058e-05,4
36,2.505110933270771e-05,4
14,2.3554025574412663e-07,4
39,2.334388773306273e-05,4
31,1.847401108534541e-05,4
9,2.3554025574412663e-07,4
23,2.3554025574412663e-07,4
33,1.9211811377317645e-05,4
6,2.3554025574412663e-07,4
1,2.8128084522904828e-05,4
26,8.516811794834211e-05,4
21,1.9654333300422877e-05,4
17,2.1551666577579454e-05,4
18,2.0374180166982114e-05,4
19,2.3554025574412663e-07,4
32,2.3554025574412663e-07,4
7,3.0925064493203536e-05,4
4,2.0332325220806524e-05,4
38,2.3554025574412663e-07,4
11,1.7343061699648388e-05,4
27,6.0548300098162144e-05,4
20,2.3554025574412663e-07,4
25,8.58162238728255e-05,4
10,1.83777174243005e-05,4
8,2.3554025574412663e-07,4
13,2.3554025574412663e-07,4
15,1.9572788005461916e-05,4
34,6.240214861463755e-05,4
22,0.00011220017040614039,4
37,8.699126192368567e-05,4
30,2.492622661520727e-05,4
5,0.00010480917990207672,4
5,0.00010299171117367223,5
13,9.847420301412058e-08,5
6,9.847420301412058e-08,5
7,2.941466482297983e-05,5
22,0.00010751045192591846,5
16,2.162771124858409e-05,5
11,1.5258689018082805e-05,5
23,9.847420301412058e-08,5
20,9.847420301412058e-08,5
24,8.632243407191709e-05,5
4,1.899297785712406e-05,5
8,9.847420301412058e-08,5
3,4.246641765348613e-05,5
17,1.9409240849199705e-05,5
1,2.7956062695011497e-05,5
29,2.1731946617364883e-05,5
9,9.847420301412058e-08,5
15,1.8195014490629546e-05,5
33,1.7948510503629223e-05,5
30,2.2345977413351648e-05,5
12,2.5338771592942066e-05,5
28,9.847420301412058e-08,5
31,1.6881405827007256e-05,5
14,9.847420301412058e-08,5
10,1.737654019962065e-05,5
36,2.2376318156602792e-05,5
38,9.847420301412058e-08,5
35,2.031151052506175e-05,5
37,8.262367191491649e-05,5
27,5.6955537729663774e-05,5
19,9.847420301412058e-08,5
18,1.8146271031582728e-05,5
32,9.847420301412058e-08,5
34,6.214140739757568e-05,5
26,8.410152076976374e-05,5
2,9.847420301412058e-08,5
21,1.7520795154268853e-05,5
