RSU,MSE,ROUND
31,1.534937837277539e-05,1
35,1.762340616551228e-05,1
9,4.478223672776949e-06,1
15,1.6276097085210495e-05,1
34,2.3048027287586592e-05,1
37,3.226508852094412e-05,1
19,4.478223672776949e-06,1
5,3.700132219819352e-05,1
3,1.6497247997904196e-05,1
1,1.3424606549961027e-05,1
8,4.478223672776949e-06,1
33,1.640672235225793e-05,1
7,2.190333543694578e-05,1
12,1.0465948435012251e-05,1
29,1.5204004739644006e-05,1
24,3.2155065127881244e-05,1
14,4.478223672776949e-06,1
32,4.478223672776949e-06,1
28,4.478223672776949e-06,1
16,1.0101010957441758e-05,1
11,1.3538000530388672e-05,1
39,1.1821188309113495e-05,1
20,4.478223672776949e-06,1
25,3.227521665394306e-05,1
0,1.7423933968530037e-05,1
23,4.478223672776949e-06,1
18,1.4563201148121152e-05,1
38,4.478223672776949e-06,1
21,1.4410843505174853e-05,1
22,4.08340674766805e-05,1
36,1.2222472832945641e-05,1
30,1.4407429262064397e-05,1
4,1.6698815670679323e-05,1
10,1.5997573427739553e-05,1
26,3.209600617992692e-05,1
2,4.478223672776949e-06,1
27,2.232818769698497e-05,1
17,1.5132712178456131e-05,1
13,4.478223672776949e-06,1
6,4.478223672776949e-06,1
13,1.621292994968826e-06,2
30,9.055901318788528e-05,2
15,9.474314720137045e-05,2
34,4.465988604351878e-05,2
14,1.621292994968826e-06,2
33,9.499411680735648e-05,2
21,9.195307939080521e-05,2
9,1.621292994968826e-06,2
32,1.621292994968826e-06,2
26,4.9241993110626936e-05,2
23,1.621292994968826e-06,2
37,9.92930872598663e-05,2
22,0.0001041370487655513,2
25,3.619943163357675e-05,2
3,4.7407786041731015e-05,2
35,9.779314132174477e-05,2
12,2.4234774173237383e-05,2
36,7.858226308599114e-05,2
5,7.92733408161439e-05,2
6,1.621292994968826e-06,2
0,9.6141840913333e-05,2
29,9.228916314896196e-05,2
27,8.813605381874368e-05,2
20,1.621292994968826e-06,2
39,8.680542669026181e-05,2
18,9.183464862871915e-05,2
16,1.9339167920406908e-05,2
28,1.621292994968826e-06,2
2,1.621292994968826e-06,2
31,9.32917682803236e-05,2
8,1.621292994968826e-06,2
7,0.00010396829748060554,2
17,9.313493501394987e-05,2
1,1.6507039617863484e-05,2
38,1.621292994968826e-06,2
11,9.131454135058448e-05,2
19,1.621292994968826e-06,2
24,9.014918759930879e-05,2
10,9.443052840651944e-05,2
4,9.599408804206178e-05,2
22,4.206704397802241e-05,3
19,9.472680062572181e-08,3
1,9.876254807750229e-06,3
15,1.3086497347103432e-05,3
9,9.472680062572181e-08,3
10,1.2583846000779886e-05,3
18,1.3448884601530153e-05,3
8,9.472680062572181e-08,3
31,1.2815695299650542e-05,3
33,1.2923633221362252e-05,3
23,9.472680062572181e-08,3
14,9.472680062572181e-08,3
16,8.609501492173877e-06,3
36,1.4816178918408696e-05,3
28,9.472680062572181e-08,3
12,1.1164084753545467e-05,3
30,1.4619790817960165e-05,3
37,3.4417804272379726e-05,3
32,9.472680062572181e-08,3
25,2.8736883905366994e-05,3
2,9.472680062572181e-08,3
11,1.241965583176352e-05,3
5,3.827457840088755e-05,3
6,9.472680062572181e-08,3
39,1.422010700480314e-05,3
20,9.472680062572181e-08,3
0,1.5538123989244923e-05,3
7,1.6611373212072067e-05,3
3,1.8651004211278632e-05,3
17,1.3690370906260796e-05,3
26,2.9168217224651016e-05,3
4,1.3195242900110316e-05,3
38,9.472680062572181e-08,3
27,2.5798035494517535e-05,3
34,2.3293643607757986e-05,3
24,3.500618549878709e-05,3
29,1.4272899534262251e-05,3
35,1.374745352222817e-05,3
13,9.472680062572181e-08,3
21,1.3212776138971094e-05,3
39,7.529362392233452e-06,4
11,5.478131242853124e-06,4
38,2.862681753867946e-07,4
37,2.8004005798720755e-05,4
1,9.544124623062089e-06,4
35,6.683294941467466e-06,4
