RSU,MSE,ROUND
26,7.157393702073023e-05,1
9,2.7475314254843397e-06,1
24,7.678508700337261e-05,1
12,2.055801815004088e-05,1
21,3.983752685599029e-05,1
8,2.7475314254843397e-06,1
1,2.4739658329053782e-05,1
30,3.840060526272282e-05,1
13,2.7475314254843397e-06,1
33,4.628020906238817e-05,1
14,2.7475314254843397e-06,1
16,1.8494190953788348e-05,1
32,2.7475314254843397e-06,1
39,3.092917177127674e-05,1
4,4.693503797170706e-05,1
2,2.7475314254843397e-06,1
3,3.661716255010106e-05,1
34,5.166777191334404e-05,1
15,4.5761626097373664e-05,1
20,2.7475314254843397e-06,1
6,2.7475314254843397e-06,1
22,9.846393368206918e-05,1
37,7.846217340556905e-05,1
25,7.089633436407894e-05,1
17,4.148387597524561e-05,1
7,6.04727138124872e-05,1
23,2.7475314254843397e-06,1
11,3.7772482755826786e-05,1
5,8.689174865139648e-05,1
36,3.103874405496754e-05,1
27,5.441274697659537e-05,1
19,2.7475314254843397e-06,1
31,4.314696343499236e-05,1
38,2.7475314254843397e-06,1
35,4.945039108861238e-05,1
0,4.6980640036053956e-05,1
10,4.527401688392274e-05,1
28,2.7475314254843397e-06,1
29,4.110304143978283e-05,1
18,4.0035552956396714e-05,1
20,3.0814228946240974e-09,2
38,3.0814228946240974e-09,2
30,8.047561277635396e-05,2
22,0.00013878375466447324,2
8,3.0814228946240974e-09,2
25,7.02079341863282e-05,2
36,7.186120637925342e-05,2
35,8.557175897294655e-05,2
2,3.0814228946240974e-09,2
1,2.5417544748052023e-05,2
33,8.207805512938648e-05,2
28,3.0814228946240974e-09,2
18,8.021916437428445e-05,2
10,8.090466144494712e-05,2
13,3.0814228946240974e-09,2
6,3.0814228946240974e-09,2
5,0.00011270660615991801,2
9,3.0814228946240974e-09,2
17,8.209171937778592e-05,2
26,8.051071927184239e-05,2
32,3.0814228946240974e-09,2
11,7.784119952702895e-05,2
19,3.0814228946240974e-09,2
34,6.364652654156089e-05,2
15,8.20467685116455e-05,2
0,8.749947301112115e-05,2
12,2.7037112886318937e-05,2
4,8.347726543433964e-05,2
27,9.706227137940004e-05,2
31,8.024950511753559e-05,2
3,5.603448880719952e-05,2
37,0.00012229841377120465,2
16,2.161003249057103e-05,2
24,0.00011486714356578887,2
39,7.636621739948168e-05,2
21,8.025606803130358e-05,2
29,8.308467658935115e-05,2
14,3.0814228946240974e-09,2
7,9.60901816142723e-05,2
23,3.0814228946240974e-09,2
34,5.791887087980285e-05,3
13,3.5476681148338685e-08,3
24,8.517495007254183e-05,3
11,1.8811795598594472e-05,3
3,4.4210282794665545e-05,3
39,2.5556690161465667e-05,3
8,3.5476681148338685e-08,3
29,2.431147913739551e-05,3
16,1.979190346901305e-05,3
33,1.9638218873296864e-05,3
36,2.7561709430301562e-05,3
25,7.410068064928055e-05,3
20,3.5476681148338685e-08,3
7,2.8615537303267047e-05,3
31,1.9307797629153356e-05,3
21,2.0827941625611857e-05,3
18,2.138126546924468e-05,3
35,2.138208037649747e-05,3
38,3.5476681148338685e-08,3
1,2.480209332134109e-05,3
9,3.5476681148338685e-08,3
26,7.46095392969437e-05,3
5,9.57095980993472e-05,3
14,3.5476681148338685e-08,3
19,3.5476681148338685e-08,3
23,3.5476681148338685e-08,3
22,0.00010338470747228712,3
15,2.0061390387127176e-05,3
2,3.5476681148338685e-08,3
6,3.5476681148338685e-08,3
28,3.5476681148338685e-08,3
12,2.422937541268766e-05,3
37,8.151360816555098e-05,3
32,3.5476681148338685e-08,3
30,2.5836618078756146e-05,3
4,2.035356010310352e-05,3
10,1.9008035451406613e-05,3
17,2.217100882262457e-05,3
0,2.7249772756476887e-05,3
27,5.89730370847974e-05,3
23,5.3699744739788e-07,4
25,7.696812826907262e-05,4
1,2.5250601538573392e-05,4
26,7.481318607460707e-05,4
35,1.0613598533382174e-05,4
12,2.3522417905041948e-05,4
17,1.1835635632451158e-05,4
13,5.3699744739788e-07,4
15,9.245690307579935e-06,4
4,9.728702025313396e-06,4
18,1.102489204640733e-05,4
24,7.71248887758702e-05,4
30,1.60518720804248e-05,4
21,1.0267850484524388e-05,4
37,7.251703209476545e-05,4
33,8.784762940194923e-06,4
16,1.952808270289097e-05,4
14,5.3699744739788e-07,4
20,5.3699744739788e-07,4
6,5.3699744739788e-07,4
8,5.3699744739788e-07,4
32,5.3699744739788e-07,4
39,1.5819794498384e-05,4
3,3.891902815666981e-05,4
31,8.647124559502117e-06,4
0,1.7115648006438278e-05,4
34,5.5704800615785643e-05,4
11,8.357981641893275e-06,4
29,1.4435227058129385e-05,4
28,5.3699744739788e-07,4
10,8.204859113902785e-06,4
36,1.8247385014547035e-05,4
7,1.7635387848713435e-05,4
27,5.060246621724218e-05,4
2,5.3699744739788e-07,4
22,9.477500861976296e-05,4
38,5.3699744739788e-07,4
9,5.3699744739788e-07,4
19,5.3699744739788e-07,4
5,9.153295832220465e-05,4
29,2.3974263967829756e-05,5
22,9.754993516253307e-05,5
33,2.0386678443173878e-05,5
17,2.1733876565122046e-05,5
26,7.462858047802001e-05,5
35,2.244415554741863e-05,5
14,2.1310368083504727e-06,5
5,9.223054075846449e-05,5
36,2.4937022317317314e-05,5
24,7.934482709970325e-05,5
21,2.0232293536537327e-05,5
12,2.5536923203617334e-05,5
25,7.635193469468504e-05,5
4,2.119565033353865e-05,5
15,2.055975710391067e-05,5
9,2.1310368083504727e-06,5
7,3.031870801351033e-05,5
27,5.440481982077472e-05,5
30,2.454060631862376e-05,5
11,1.8207105313194916e-05,5
3,4.0917922888183966e-05,5
28,2.1310368083504727e-06,5
18,2.088781366182957e-05,5
20,2.1310368083504727e-06,5
16,2.132460031134542e-05,5
37,7.656442903680727e-05,5
34,5.671094186254777e-05,5
38,2.1310368083504727e-06,5
39,2.305891212017741e-05,5
19,2.1310368083504727e-06,5
8,2.1310368083504727e-06,5
23,2.1310368083504727e-06,5
6,2.1310368083504727e-06,5
10,1.9738832634175196e-05,5
0,2.6900235752691515e-05,5
1,2.6161878849961795e-05,5
13,2.1310368083504727e-06,5
32,2.1310368083504727e-06,5
2,2.1310368083504727e-06,5
31,1.9521738067851402e-05,5
