RSU,MSE,ROUND
18,0.00011880967213073745,2
23,1.8483302000049662e-08,2
30,0.00011652877583401278,2
19,7.72626140843613e-09,3
31,1.4347055184771307e-05,3
37,4.752829408971593e-05,3
7,2.007962939387653e-05,3
14,7.72626140843613e-09,3
30,1.7237811334780417e-05,3
36,1.730073563521728e-05,3
10,1.3765990843239706e-05,3
29,1.6567835700698197e-05,3
12,1.4230027773010079e-05,3
20,7.72626140843613e-09,3
33,1.4235316484700888e-05,3
8,7.72626140843613e-09,3
39,1.635044827708043e-05,3
32,7.72626140843613e-09,3
27,3.4252025216119364e-05,3
16,1.1497959349071607e-05,3
38,7.72626140843613e-09,3
21,1.4929660210327711e-05,3
4,1.4819245734543074e-05,3
6,7.72626140843613e-09,3
17,1.5892734154476784e-05,3
23,7.72626140843613e-09,3
1,1.4413162716664374e-05,3
15,1.455883466405794e-05,3
2,7.72626140843613e-09,3
18,1.5228391930577345e-05,3
11,1.3775830666418187e-05,3
24,4.8848996812012047e-05,3
28,7.72626140843613e-09,3
0,1.872380744316615e-05,3
25,4.3057676521129906e-05,3
26,4.331059972173534e-05,3
35,1.561110548209399e-05,3
9,7.72626140843613e-09,3
5,5.505566514329985e-05,3
34,3.3139236620627344e-05,3
13,7.72626140843613e-09,3
22,6.0072092310292646e-05,3
3,2.515891355869826e-05,3
24,4.348326547187753e-05,4
9,5.0814166208112965e-09,4
36,1.081925438484177e-05,4
32,5.0814166208112965e-09,4
2,5.0814166208112965e-09,4
14,5.0814166208112965e-09,4
34,3.1297946406994015e-05,4
22,5.410945595940575e-05,4
6,5.0814166208112965e-09,4
7,1.1426876881159842e-05,4
30,1.0064393791253679e-05,4
28,5.0814166208112965e-09,4
37,4.123443068237975e-05,4
8,5.0814166208112965e-09,4
4,6.6522711676952895e-06,4
33,6.031497832736932e-06,4
3,2.1766541976830922e-05,4
1,1.4193201423040591e-05,4
15,6.3525608311465476e-06,4
39,9.608173968445044e-06,4
23,5.0814166208112965e-09,4
17,8.086597517831251e-06,4
27,2.8414442567736842e-05,4
11,5.966120625089388e-06,4
29,9.181504537991714e-06,4
21,7.1030335675459355e-06,4
38,5.0814166208112965e-09,4
18,7.450430075550685e-06,4
35,7.311936315090861e-06,4
10,5.6160674830607604e-06,4
5,5.180353036848828e-05,4
0,1.0995498996635433e-05,4
25,4.3432737584225833e-05,4
12,1.2659365893341601e-05,4
13,5.0814166208112965e-09,4
26,4.236368840793148e-05,4
20,5.0814166208112965e-09,4
16,1.0725409083534032e-05,4
31,6.1985110733076e-06,4
19,5.0814166208112965e-09,4
4,1.576175600348506e-05,5
18,1.5488796634599566e-05,5
25,4.246897515258752e-05,5
0,1.894388515211176e-05,5
29,1.6737863916205242e-05,5
2,8.736493128935763e-08,5
39,1.5743993571959436e-05,5
24,4.692095535574481e-05,5
9,8.736493128935763e-08,5
36,1.6585541743552312e-05,5
5,5.337669426808134e-05,5
