RSU,MSE,ROUND
21,1.6035444787121378e-05,1
27,1.4691162505187094e-05,1
20,1.5684558718476183e-07,1
31,1.7497066437499598e-05,1
6,1.5684558718476183e-07,1
17,1.6456604498671368e-05,1
8,1.5684558718476183e-07,1
14,1.5684558718476183e-07,1
24,1.8628597899805754e-05,1
39,1.161057753051864e-05,1
13,1.5684558718476183e-07,1
15,1.837512172642164e-05,1
26,1.5832463759579696e-05,1
7,2.2989168428466655e-05,1
11,1.5453219020855613e-05,1
0,1.7692913388600573e-05,1
1,5.083142696094001e-06,1
29,1.5952817193465307e-05,1
3,8.01538863015594e-06,1
38,1.5684558718476183e-07,1
23,1.5684558718476183e-07,1
37,2.070221489702817e-05,1
35,1.9716731912922114e-05,1
12,4.27531131208525e-06,1
36,1.101890029531205e-05,1
30,1.445546695322264e-05,1
34,1.1051710316678509e-05,1
10,1.834399336075876e-05,1
16,3.6892561183776706e-06,1
2,1.5684558718476183e-07,1
32,1.5684558718476183e-07,1
5,1.977125066332519e-05,1
25,1.4988584553066175e-05,1
4,1.885323399619665e-05,1
22,2.4466055037919432e-05,1
18,1.5989613530109636e-05,1
19,1.5684558718476183e-07,1
9,1.5684558718476183e-07,1
33,1.8701139197219163e-05,1
28,1.5684558718476183e-07,1
11,0.0001878686307463795,2
27,0.00015767317381687462,2
1,1.9242610505898483e-05,2
7,0.00020528679306153208,2
6,1.37484050810599e-06,2
21,0.00018944025214295834,2
3,7.585716957692057e-05,2
25,3.552942871465348e-05,2
16,3.060953531530686e-05,2
24,0.0001426787202944979,2
35,0.00019726622849702835,2
20,1.37484050810599e-06,2
30,0.00018212167196907103,2
32,1.37484050810599e-06,2
33,0.00019233746570535004,2
36,0.0001584087876835838,2
34,6.452586239902303e-05,2
5,0.00011475801147753373,2
8,1.37484050810599e-06,2
39,0.00017678775475360453,2
12,4.165542122791521e-05,2
22,0.0001617407688172534,2
2,1.37484050810599e-06,2
14,1.37484050810599e-06,2
18,0.00018838932737708092,2
4,0.00019509048433974385,2
17,0.00019072656868956983,2
0,0.00019200023962184787,2
31,0.00019040514598600566,2
9,1.37484050810599e-06,2
38,1.37484050810599e-06,2
19,1.37484050810599e-06,2
37,0.00016821720055304468,2
28,1.37484050810599e-06,2
23,1.37484050810599e-06,2
10,0.00019099486235063523,2
29,0.00018908792117144912,2
15,0.00019187589350622147,2
13,1.37484050810599e-06,2
26,6.044041947461665e-05,2
29,8.309545592055656e-06,3
14,9.696419738247641e-07,3
26,1.4748095054528676e-05,3
34,1.3204777133069001e-05,3
0,8.53560686664423e-06,3
1,5.856778443558142e-06,3
30,8.94335244083777e-06,3
32,9.696419738247641e-07,3
28,9.696419738247641e-07,3
12,8.650294148537796e-06,3
18,7.894182090240065e-06,3
6,9.696419738247641e-07,3
17,7.78204503149027e-06,3
15,7.24232313586981e-06,3
11,7.426252523146104e-06,3
2,9.696419738247641e-07,3
9,9.696419738247641e-07,3
38,9.696419738247641e-07,3
16,6.150874014565488e-06,3
8,9.696419738247641e-07,3
24,1.9429879102972336e-05,3
7,8.038569831114728e-06,3
27,1.551598143123556e-05,3
22,2.1829449906363152e-05,3
25,1.4576800822396763e-05,3
20,9.696419738247641e-07,3
5,2.0308541934355162e-05,3
4,7.072097105265129e-06,3
37,1.8821903722709976e-05,3
3,1.1949870895477943e-05,3
35,7.177955467341235e-06,3
36,1.0214292160526384e-05,3
23,9.696419738247641e-07,3
13,9.696419738247641e-07,3
31,7.192978955572471e-06,3
19,9.696419738247641e-07,3
10,7.071889285725774e-06,3
21,7.685912351007573e-06,3
39,9.546426554152276e-06,3
33,7.103130428731674e-06,3
30,2.762769327091519e-06,4
10,1.3468497854773887e-06,4
34,9.150180630967952e-06,4
21,1.7980515849558287e-06,4
23,2.7257516421741457e-07,4
37,1.1651486602204386e-05,4
0,2.866687964342418e-06,4
38,2.7257516421741457e-07,4
29,2.4519304133718833e-06,4
27,8.205915037251543e-06,4
7,2.818359007505933e-06,4
25,1.2749142115353607e-05,4
24,1.2379106919979677e-05,4
4,1.606041564627958e-06,4
1,4.318204901210265e-06,4
19,2.7257516421741457e-07,4
36,3.17947706207633e-06,4
9,2.7257516421741457e-07,4
20,2.7257516421741457e-07,4
35,1.747326791701198e-06,4
33,1.4467692608377547e-06,4
32,2.7257516421741457e-07,4
22,1.5160030670813285e-05,4
18,1.9447431895969203e-06,4
3,6.432775990106165e-06,4
6,2.7257516421741457e-07,4
14,2.7257516421741457e-07,4
39,2.7757992029364686e-06,4
16,3.450163376328419e-06,4
26,1.226329095516121e-05,4
13,2.7257516421741457e-07,4
17,2.0626232526410604e-06,4
2,2.7257516421741457e-07,4
5,1.483425421611173e-05,4
11,1.5011282812338322e-06,4
15,1.5440640481756418e-06,4
12,4.1145535760733765e-06,4
8,2.7257516421741457e-07,4
31,1.4989939245424466e-06,4
28,2.7257516421741457e-07,4
35,1.24432426673593e-05,5
10,1.193457683257293e-05,5
2,7.531380106229335e-07,5
23,7.531380106229335e-07,5
6,7.531380106229335e-07,5
39,1.2086564311175607e-05,5
38,7.531380106229335e-07,5
14,7.531380106229335e-07,5
29,1.2364679605525453e-05,5
0,1.2896255611849483e-05,5
19,7.531380106229335e-07,5
21,1.198143854708178e-05,5
27,1.6302366930176504e-05,5
33,1.2078529834980145e-05,5
11,1.1676238500513136e-05,5
31,1.2001307368336711e-05,5
34,1.198249537992524e-05,5
30,1.240209076058818e-05,5
18,1.2193027941975743e-05,5
20,7.531380106229335e-07,5
37,1.9794630134128965e-05,5
9,7.531380106229335e-07,5
8,7.531380106229335e-07,5
13,7.531380106229335e-07,5
15,1.2134329153923318e-05,5
16,5.517048066394636e-06,5
28,7.531380106229335e-07,5
1,5.198938197281677e-06,5
26,1.3884206964576151e-05,5
3,1.1064591490139719e-05,5
7,1.3862509149475954e-05,5
24,1.9130524378851987e-05,5
22,2.2284288206719793e-05,5
17,1.2242836419318337e-05,5
32,7.531380106229335e-07,5
4,1.2213778063596692e-05,5
12,7.931731488497462e-06,5
25,1.3206989024183713e-05,5
36,1.2229955245857127e-05,5
5,1.923144191096071e-05,5
