RSU,MSE,ROUND
22,7.547589484602213e-05,1
8,2.672703203643323e-06,1
35,1.597745722392574e-05,1
15,1.4420510524359997e-05,1
31,1.328260259469971e-05,1
24,6.023204332450405e-05,1
18,1.3722815310757142e-05,1
32,2.672703203643323e-06,1
14,2.672703203643323e-06,1
39,1.390845045534661e-05,1
10,1.3757709893980063e-05,1
9,2.672703203643323e-06,1
29,1.5784129573148675e-05,1
11,1.17553745440091e-05,1
19,2.672703203643323e-06,1
16,1.6059184417827055e-05,1
1,2.161355223506689e-05,1
3,3.024083525815513e-05,1
21,1.3259375009511132e-05,1
30,1.606364457984455e-05,1
25,6.13574156886898e-05,1
28,2.672703203643323e-06,1
17,1.4514152098854538e-05,1
38,2.672703203643323e-06,1
20,2.672703203643323e-06,1
33,1.4293835192802362e-05,1
5,7.157829531934112e-05,1
2,2.672703203643323e-06,1
27,3.927897341782227e-05,1
12,1.777653415047098e-05,1
7,2.257507549074944e-05,1
37,5.742685607401654e-05,1
23,2.672703203643323e-06,1
36,1.5504912880714983e-05,1
13,2.672703203643323e-06,1
4,1.4865569028188474e-05,1
0,1.8939450455945916e-05,1
26,6.0081612900830805e-05,1
6,2.672703203643323e-06,1
34,4.375732896733098e-05,1
28,4.5961397177052277e-07,2
35,0.00012187398533569649,2
30,0.00011790635471697897,2
5,0.00012106492795282975,2
26,7.86942255217582e-05,2
4,0.00012044261529808864,2
11,0.00011561121937120333,2
7,0.00013163861876819283,2
9,4.5961397177052277e-07,2
10,0.00011731162521755323,2
33,0.00011821362568298355,2
14,4.5961397177052277e-07,2
22,0.00015755335334688425,2
34,6.631051655858755e-05,2
13,4.5961397177052277e-07,2
23,4.5961397177052277e-07,2
8,4.5961397177052277e-07,2
24,0.00013389821106102318,2
18,0.00011758061009459198,2
2,4.5961397177052277e-07,2
21,0.00011754724255297333,2
31,0.00011658043513307348,2
29,0.00012073631660314277,2
17,0.00011952735803788528,2
16,2.4615997972432524e-05,2
38,4.5961397177052277e-07,2
37,0.00014702459156978875,2
32,4.5961397177052277e-07,2
1,2.455203139106743e-05,2
19,4.5961397177052277e-07,2
25,6.0393987951101735e-05,2
15,0.00011831228766823187,2
39,0.00011519372492330149,2
0,0.00012449963833205402,2
12,3.131088669761084e-05,2
6,4.5961397177052277e-07,2
36,0.00010472213034518063,2
27,0.0001263479789486155,2
3,6.641822983510792e-05,2
20,4.5961397177052277e-07,2
9,2.6832678940991173e-06,3
3,3.309941530460492e-05,3
28,2.6832678940991173e-06,3
13,2.6832678940991173e-06,3
29,2.1369694877648726e-05,3
32,2.6832678940991173e-06,3
33,1.647732460696716e-05,3
37,6.448895874200389e-05,3
11,1.6362822861992754e-05,3
26,5.9031255659647286e-05,3
21,1.812620939745102e-05,3
5,7.357091089943424e-05,3
24,6.590279372176155e-05,3
2,2.6832678940991173e-06,3
38,2.6832678940991173e-06,3
17,1.9475572116789408e-05,3
23,2.6832678940991173e-06,3
15,1.6842899640323594e-05,3
39,2.1824274881510064e-05,3
12,1.7411592125426978e-05,3
36,2.2532458388013765e-05,3
8,2.6832678940991173e-06,3
35,1.8326394638279453e-05,3
10,1.5763900591991842e-05,3
22,8.099694241536781e-05,3
1,2.125791070284322e-05,3
4,1.7395548638887703e-05,3
7,2.4272310838568956e-05,3
20,2.6832678940991173e-06,3
14,2.6832678940991173e-06,3
31,1.653609433560632e-05,3
0,2.3511021936428733e-05,3
34,4.386246291687712e-05,3
27,4.618488310370594e-05,3
30,2.20834554056637e-05,3
19,2.6832678940991173e-06,3
18,1.8580443793325685e-05,3
16,1.5737210560473613e-05,3
6,2.6832678940991173e-06,3
25,5.7952769566327333e-05,3
9,7.661312650952823e-08,4
12,1.6944906747085042e-05,4
17,1.1540832019818481e-05,4
24,5.960451744613238e-05,4
7,1.6713815057300963e-05,4
31,9.179207154375035e-06,4
19,7.661312650952823e-08,4
11,8.727781278139446e-06,4
32,7.661312650952823e-08,4
36,1.5207671822281554e-05,4
8,7.661312650952823e-08,4
23,7.661312650952823e-08,4
34,4.1716211853781715e-05,4
2,7.661312650952823e-08,4
38,7.661312650952823e-08,4
33,9.29893121792702e-06,4
14,7.661312650952823e-08,4
25,5.817093187943101e-05,4
5,6.995091825956479e-05,4
6,7.661312650952823e-08,4
18,1.0850050784938503e-05,4
15,9.646826583775692e-06,4
13,7.661312650952823e-08,4
4,1.0102218766405713e-05,4
3,2.9238686693133786e-05,4
21,1.0253203072352335e-05,4
35,1.0991655472025741e-05,4
20,7.661312650952823e-08,4
39,1.3686073543794919e-05,4
26,5.715631414204836e-05,4
29,1.3379847587202676e-05,4
10,8.728437023819424e-06,4
1,1.9056664314121008e-05,4
37,5.6991026212926954e-05,4
28,7.661312650952823e-08,4
30,1.432356657460332e-05,4
16,1.4124627341516316e-05,4
0,1.5722051102784462e-05,4
27,3.95544630009681e-05,4
22,7.390023529296741e-05,4
32,4.090463079364781e-09,5
13,4.090463079364781e-09,5
28,4.090463079364781e-09,5
3,2.7731895897886716e-05,5
18,1.015688667393988e-05,5
6,4.090463079364781e-09,5
19,4.090463079364781e-09,5
8,4.090463079364781e-09,5
0,1.4906001524650492e-05,5
27,3.6975223338231444e-05,5
35,1.101562156691216e-05,5
24,5.6808155932230875e-05,5
37,5.403162140282802e-05,5
12,1.6625053831376135e-05,5
20,4.090463079364781e-09,5
22,7.066606485750526e-05,5
9,4.090463079364781e-09,5
29,1.2526069440355059e-05,5
17,1.0781194760056678e-05,5
33,9.43496070249239e-06,5
1,1.887854523374699e-05,5
7,1.6790558220236562e-05,5
14,4.090463079364781e-09,5
39,1.2200267519801855e-05,5
31,8.916782462620176e-06,5
