RSU,MSE
RSU_13,0.0
RSU_12,7.05971659581995e-06
RSU_38,0.0
RSU_10,1.0764186182539148e-06
RSU_11,1.6656644554845635e-06
RSU_39,4.885308676593117e-06
RSU_15,1.4190189697671656e-06
RSU_29,4.117661272181112e-06
RSU_28,0.0
RSU_14,0.0
RSU_16,6.935170253355031e-06
RSU_17,2.9777942126016084e-06
RSU_58,4.635481635212406e-06
RSU_64,2.8788655795112766e-06
RSU_70,7.060075593344937e-06
RSU_71,0.0
RSU_65,3.766375331267592e-06
RSU_59,1.1232533667591933e-05
RSU_8,1.8658762816065044e-08
RSU_73,7.64298509858096e-07
RSU_67,3.952132387305501e-06
RSU_66,0.0
RSU_72,8.80438674113287e-06
RSU_9,0.0
RSU_76,1.3329712523718345e-05
RSU_62,0.0
RSU_63,6.352297434923716e-06
RSU_77,3.2622476408124337e-06
RSU_88,9.353073726461783e-06
RSU_61,6.204289725595008e-06
RSU_75,6.113924784518217e-06
RSU_49,2.7096314886559494e-05
RSU_48,7.949268795221976e-06
RSU_74,0.0
RSU_60,1.547497688442124e-06
RSU_86,6.7901853684510655e-06
RSU_79,8.032377696966805e-07
RSU_2,0.0
RSU_45,4.359760094216464e-06
RSU_51,5.588111275816111e-07
RSU_50,0.0
RSU_3,1.2657379993106169e-05
RSU_44,1.8151160843269093e-05
RSU_78,2.8898099844740904e-05
RSU_87,4.333454317342266e-06
RSU_85,2.7973430595303344e-06
RSU_52,0.0
RSU_46,3.0274872602270626e-06
RSU_1,8.739054998456578e-06
RSU_47,4.173025496185685e-06
RSU_0,4.955683325154792e-06
RSU_53,1.3348612502320523e-06
RSU_84,0.0
RSU_80,5.218690421751059e-06
RSU_57,2.3922841029139406e-06
RSU_4,2.001117481412458e-06
RSU_43,1.8084154209832684e-06
RSU_5,3.167773074680881e-05
RSU_42,0.0
RSU_56,2.0620232359674635e-05
RSU_81,2.3098476646730997e-05
RSU_83,0.0
RSU_40,0.0
RSU_7,4.353784180483818e-06
RSU_54,2.421165782006987e-06
RSU_68,6.057233159924619e-06
RSU_69,8.88009740408225e-06
RSU_55,0.0
RSU_41,2.305387032096909e-06
RSU_6,0.0
RSU_82,6.07116122078116e-06
RSU_26,2.7216871146939994e-05
RSU_32,0.0
RSU_33,1.1260572500192974e-06
RSU_27,1.713235946959929e-05
RSU_19,0.0
RSU_31,1.5697029640038904e-06
RSU_25,2.6366701913434447e-05
RSU_24,2.7748068948922238e-05
RSU_30,4.735986338060196e-06
RSU_18,2.7570686413618617e-06
RSU_34,1.9738726345688856e-05
RSU_20,0.0
RSU_21,2.298341781764038e-06
RSU_35,2.3802243602124443e-06
RSU_23,0.0
RSU_37,2.4923148433408527e-05
RSU_36,5.952380197878602e-06
RSU_22,3.385478889982796e-05
