RSU,MSE
RSU_13,0.0
RSU_12,2.209213991852263e-05
RSU_38,0.0
RSU_10,2.629583772553856e-06
RSU_11,5.845336631833745e-06
RSU_39,1.8373102726332552e-05
RSU_15,5.0255401361077675e-06
RSU_29,1.4398678168896992e-05
RSU_28,0.0
RSU_14,0.0
RSU_16,2.173761717833264e-05
RSU_17,1.1058614932298898e-05
RSU_58,1.902747351793042e-05
RSU_64,1.0628110666788197e-05
RSU_70,2.3902985555100677e-05
RSU_71,0.0
RSU_65,1.2701015820370107e-05
RSU_59,3.621617100652055e-05
RSU_8,1.0996548471808865e-07
RSU_73,2.0136198151490974e-06
RSU_67,1.5107897041137258e-05
RSU_66,0.0
RSU_72,2.8213641617067377e-05
RSU_9,0.0
RSU_76,4.093759322105539e-05
RSU_62,0.0
RSU_63,1.9826669210831325e-05
RSU_77,9.314292260906849e-06
RSU_88,2.923116753125883e-05
RSU_61,1.9164100104953086e-05
RSU_75,2.0530761186264985e-05
RSU_49,7.625888584681257e-05
RSU_48,2.3310067678871312e-05
RSU_74,0.0
RSU_60,5.155736351385217e-06
RSU_86,2.1057332437463884e-05
RSU_79,2.608036946094441e-06
RSU_2,0.0
RSU_45,1.3432231856571097e-05
RSU_51,1.7340853104895314e-06
RSU_50,0.0
RSU_3,5.085685985120314e-05
RSU_44,5.618301849686282e-05
RSU_78,8.812186674115494e-05
RSU_87,1.4072841969870754e-05
RSU_85,1.248105890418887e-05
RSU_52,0.0
RSU_46,8.626811447233847e-06
RSU_1,2.4372061866608695e-05
RSU_47,1.2896287797983848e-05
RSU_0,1.7757036807358654e-05
RSU_53,4.281465300199414e-06
RSU_84,0.0
RSU_80,1.9566491119387236e-05
RSU_57,1.0391289830882268e-05
RSU_4,5.317300285474755e-06
RSU_43,6.197250043517858e-06
RSU_5,9.558176505639244e-05
RSU_42,0.0
RSU_56,6.839987932169382e-05
RSU_81,6.909916073088902e-05
RSU_83,0.0
RSU_40,0.0
RSU_7,1.584279618649167e-05
RSU_54,9.267689452347079e-06
RSU_68,2.3386626247156962e-05
RSU_69,2.9748555032864586e-05
RSU_55,0.0
RSU_41,7.178857102532284e-06
RSU_6,0.0
RSU_82,1.8650842560409066e-05
RSU_26,8.068952647690272e-05
RSU_32,0.0
RSU_33,3.997604172351673e-06
RSU_27,6.044586987063609e-05
RSU_19,0.0
RSU_31,4.659219899806148e-06
RSU_25,6.933607711317145e-05
RSU_24,9.770593996365502e-05
RSU_30,1.679246264452759e-05
RSU_18,1.0539716401306865e-05
RSU_34,5.367733710914316e-05
RSU_20,0.0
RSU_21,9.374793071654853e-06
RSU_35,6.183955026222579e-06
RSU_23,0.0
RSU_37,7.95776624091997e-05
RSU_36,1.9829603644380127e-05
RSU_22,0.00010383235140851728
