RSU,MSE
RSU_13,0.0
RSU_12,1.1825110827303002e-05
RSU_38,0.0
RSU_10,1.2613647011088912e-06
RSU_11,2.4880103739424753e-06
RSU_39,8.060350647737326e-06
RSU_15,2.903917045148078e-06
RSU_29,6.8387511866022364e-06
RSU_28,0.0
RSU_14,0.0
RSU_16,1.1078447784389183e-05
RSU_17,4.816282642028188e-06
RSU_58,7.528295753631846e-06
RSU_64,4.672959798968174e-06
RSU_70,1.1055753834623859e-05
RSU_71,0.0
RSU_65,6.032144948733621e-06
RSU_59,1.7289251608108622e-05
RSU_8,1.3607115989522356e-07
RSU_73,9.674761269459197e-07
RSU_67,6.584425851562395e-06
RSU_66,0.0
RSU_72,1.4056834193169047e-05
RSU_9,0.0
RSU_76,1.9222562669744717e-05
RSU_62,0.0
RSU_63,8.608149573315767e-06
RSU_77,4.402372173687768e-06
RSU_88,1.4812018663324651e-05
RSU_61,1.0302105012764237e-05
RSU_75,9.513493687822788e-06
RSU_49,4.058425017740707e-05
RSU_48,1.1198164340979124e-05
RSU_74,0.0
RSU_60,2.6686919624187496e-06
RSU_86,1.0602166652909284e-05
RSU_79,1.9534124283315804e-06
RSU_2,0.0
RSU_45,6.548404528553866e-06
RSU_51,1.8196847313759455e-06
RSU_50,0.0
RSU_3,2.1561840297077813e-05
RSU_44,2.779931163987586e-05
RSU_78,4.449583891152121e-05
RSU_87,6.041261817986344e-06
RSU_85,4.652165345350515e-06
RSU_52,0.0
RSU_46,3.941759800588567e-06
RSU_1,1.2949577597769892e-05
RSU_47,6.0594451432538845e-06
RSU_0,8.629486176458707e-06
RSU_53,2.2171736561934143e-06
RSU_84,0.0
RSU_80,8.125138014447396e-06
RSU_57,3.6970049228467617e-06
RSU_4,2.5157297728454713e-06
RSU_43,3.195174929459451e-06
RSU_5,4.9029630490696206e-05
RSU_42,0.0
RSU_56,3.445441033701785e-05
RSU_81,3.513839750715471e-05
RSU_83,0.0
RSU_40,0.0
RSU_7,7.1305376115566225e-06
RSU_54,3.896081297293342e-06
RSU_68,9.349308125369308e-06
RSU_69,1.3866121102772202e-05
RSU_55,0.0
RSU_41,4.91609602105267e-06
RSU_6,0.0
RSU_82,9.331929276781218e-06
RSU_26,4.265429515581062e-05
RSU_32,0.0
RSU_33,2.1031741518793214e-06
RSU_27,2.672651561993219e-05
RSU_19,0.0
RSU_31,2.2329812352511366e-06
RSU_25,3.798979461267368e-05
RSU_24,4.3539503215544956e-05
RSU_30,8.82711712286574e-06
RSU_18,5.504526247111083e-06
RSU_34,2.8325361645299608e-05
RSU_20,0.0
RSU_21,4.004093610704689e-06
RSU_35,3.1480274731550703e-06
RSU_23,0.0
RSU_37,3.9315547181051295e-05
RSU_36,1.1094111628378523e-05
RSU_22,5.2269361413865324e-05
