RSU,MSE
RSU_13,0.0
RSU_12,1.9197867284069e-05
RSU_38,0.0
RSU_10,2.3688787776911415e-06
RSU_11,4.4595466334275826e-06
RSU_39,1.5345415450713958e-05
RSU_15,4.019527088727864e-06
RSU_29,1.1479770578161e-05
RSU_28,0.0
RSU_14,0.0
RSU_16,1.5750307031346893e-05
RSU_17,8.87760305445685e-06
RSU_58,1.252215828037908e-05
RSU_64,8.90871872834873e-06
RSU_70,2.4117972442937833e-05
RSU_71,0.0
RSU_65,9.570178978088468e-06
RSU_59,3.054937308320515e-05
RSU_8,2.1510528080970204e-08
RSU_73,1.5836460255355797e-06
RSU_67,1.1891130615234915e-05
RSU_66,0.0
RSU_72,2.4012643120734598e-05
RSU_9,0.0
RSU_76,3.351424442428077e-05
RSU_62,0.0
RSU_63,1.674546467812457e-05
RSU_77,7.518877461367963e-06
RSU_88,2.387287724776701e-05
RSU_61,1.4679818179689448e-05
RSU_75,1.863442106937231e-05
RSU_49,6.44532489361429e-05
RSU_48,1.8968678556215206e-05
RSU_74,0.0
RSU_60,4.172051238903319e-06
RSU_86,1.6583204815925122e-05
RSU_79,2.202192411323372e-06
RSU_2,0.0
RSU_45,1.1139488940808774e-05
RSU_51,1.4262552557113844e-06
RSU_50,0.0
RSU_3,4.729755596759944e-05
RSU_44,4.667411129681181e-05
RSU_78,7.421638036241077e-05
RSU_87,1.0872378067353872e-05
RSU_85,6.700918409354145e-06
RSU_52,0.0
RSU_46,7.169583879573453e-06
RSU_1,2.168306043640823e-05
RSU_47,1.075247076306265e-05
RSU_0,1.5079017420894475e-05
RSU_53,3.419783252007212e-06
RSU_84,0.0
RSU_80,1.3583663924290525e-05
RSU_57,6.600431813670481e-06
RSU_4,4.531635975734233e-06
RSU_43,5.310353956119704e-06
RSU_5,8.42820466928005e-05
RSU_42,0.0
RSU_56,5.7530816890560316e-05
RSU_81,5.924818682138743e-05
RSU_83,0.0
RSU_40,0.0
RSU_7,1.253464983482341e-05
RSU_54,6.4108173939389635e-06
RSU_68,1.847922863710979e-05
RSU_69,2.4120819332314562e-05
RSU_55,0.0
RSU_41,5.894502014844223e-06
RSU_6,0.0
RSU_82,1.5142559085061977e-05
RSU_26,6.961465906265741e-05
RSU_32,0.0
RSU_33,3.230777069626195e-06
RSU_27,4.595363682740746e-05
RSU_19,0.0
RSU_31,3.8094327782047046e-06
RSU_25,6.856588511843627e-05
RSU_24,7.79231772095149e-05
RSU_30,1.3559386714863133e-05
RSU_18,7.45999533972243e-06
RSU_34,4.8025390839401745e-05
RSU_20,0.0
RSU_21,7.516905335070734e-06
RSU_35,5.3061050316062656e-06
RSU_23,0.0
RSU_37,6.835717505096798e-05
RSU_36,1.6112637652002486e-05
RSU_22,8.602501566294896e-05
