RSU,MSE
RSU_13,0.0
RSU_12,4.931016959023809e-06
RSU_38,0.0
RSU_10,3.837497227666757e-07
RSU_11,6.941032116668299e-07
RSU_39,2.1170951876398504e-06
RSU_15,5.896433491741272e-07
RSU_29,1.9040465253346532e-06
RSU_28,0.0
RSU_14,0.0
RSU_16,3.3184844612739655e-06
RSU_17,1.2611016104455065e-06
RSU_58,2.1746594649877425e-06
RSU_64,1.2250979461491478e-06
RSU_70,3.083729614487784e-06
RSU_71,0.0
RSU_65,1.3866676528172108e-06
RSU_59,4.79889076162682e-06
RSU_8,8.879522464533274e-11
RSU_73,2.5132426460979703e-07
RSU_67,1.5350570824436408e-06
RSU_66,0.0
RSU_72,3.3805894240479137e-06
RSU_9,0.0
RSU_76,5.0074026390358105e-06
RSU_62,0.0
RSU_63,2.1497203138505784e-06
RSU_77,1.2470942825143878e-06
RSU_88,3.722145951151952e-06
RSU_61,2.4625565628770896e-06
RSU_75,2.4983613029303273e-06
RSU_49,1.1315197804134249e-05
RSU_48,2.992347822647531e-06
RSU_74,0.0
RSU_60,6.392782879854485e-07
RSU_86,3.595719937928959e-06
RSU_79,6.803166225089889e-07
RSU_2,0.0
RSU_45,1.5101284131163552e-06
RSU_51,2.3816505715898622e-07
RSU_50,0.0
RSU_3,5.192598955565988e-06
RSU_44,7.973840887678996e-06
RSU_78,1.3258575086375738e-05
RSU_87,1.8608696676499356e-06
RSU_85,1.2022116954365753e-06
RSU_52,0.0
RSU_46,1.0528948146538427e-06
RSU_1,4.132958102049581e-06
RSU_47,2.0301672112020155e-06
RSU_0,2.0002293268074585e-06
RSU_53,7.473700316499939e-07
RSU_84,0.0
RSU_80,2.2502975967424075e-06
RSU_57,9.268567954651534e-07
RSU_4,6.397891447395744e-07
RSU_43,7.388678480502537e-07
RSU_5,1.2459756119150771e-05
RSU_42,0.0
RSU_56,8.32157684443529e-06
RSU_81,1.1406692594134066e-05
RSU_83,0.0
RSU_40,0.0
RSU_7,1.8341450091739635e-06
RSU_54,1.2048634253855794e-06
RSU_68,2.447707149135201e-06
RSU_69,3.9146992812113045e-06
RSU_55,0.0
RSU_41,1.53840054756797e-06
RSU_6,0.0
RSU_82,2.387819224242556e-06
RSU_26,1.6146090585807668e-05
RSU_32,0.0
RSU_33,4.815319060986496e-07
RSU_27,6.78543971024169e-06
RSU_19,0.0
RSU_31,1.4039330808718505e-06
RSU_25,1.1506199411298114e-05
RSU_24,1.127939384190348e-05
RSU_30,2.0177485379766374e-06
RSU_18,1.0939688419745326e-06
RSU_34,1.263337511091034e-05
RSU_20,0.0
RSU_21,1.0127317945085088e-06
RSU_35,8.202503775641884e-07
RSU_23,0.0
RSU_37,1.181752712484103e-05
RSU_36,2.3938279339201648e-06
RSU_22,1.2953308516846879e-05
