rsu,time
RSU_13,187.82084100000793
RSU_12,187.65744700000505
RSU_38,186.79957100001047
RSU_10,188.04620599999907
RSU_11,192.0208539999876
RSU_39,191.30660899999202
RSU_15,189.61450999999943
RSU_29,189.35713099999703
RSU_28,191.32631899999978
RSU_14,192.57115899999917
RSU_16,190.53324600000633
RSU_17,200.3615800000116
RSU_58,207.4940670000069
RSU_64,205.4998489999998
RSU_70,206.53571899999224
RSU_71,195.8256909999909
RSU_65,197.6648290000012
RSU_59,197.59073100000387
RSU_8,191.1811949999974
RSU_73,194.54140299999563
RSU_67,197.74032100000477
RSU_66,190.50276999999187
RSU_72,202.96316800000204
RSU_9,204.75969500000065
RSU_76,204.73332300000766
RSU_62,202.7160290000029
RSU_63,199.60362799999712
RSU_77,196.33177499999874
RSU_88,205.11935300000187
RSU_61,194.1381309999997
RSU_75,193.75545599999896
RSU_49,191.75720300000103
RSU_48,194.6656670000084
RSU_74,195.0231860000058
RSU_60,195.77464800000598
RSU_86,193.73068599999533
RSU_79,197.00662299999385
RSU_2,210.16088799999852
RSU_45,192.7182599999942
RSU_51,197.6404729999922
RSU_50,197.0019489999977
RSU_3,195.1049619999976
RSU_44,195.44571899999573
RSU_78,190.06409499999427
RSU_87,197.58134299999801
RSU_85,199.69313899999543
RSU_52,196.7684750000044
RSU_46,199.1694290000014
RSU_1,191.5197429999971
RSU_47,190.20195499999681
RSU_0,190.77784399999655
RSU_53,191.57229300000472
RSU_84,196.67546899999434
RSU_80,196.60488500000793
RSU_57,192.37177399999928
RSU_4,192.15803599999344
RSU_43,192.30949600000167
RSU_5,191.47196299998905
RSU_42,191.7118530000007
RSU_56,196.6093600000022
RSU_81,195.37040600000182
RSU_83,194.9227940000128
RSU_40,190.16791200000443
RSU_7,191.15855300000112
RSU_54,197.2184830000042
RSU_68,200.00720599999477
RSU_69,196.01383200001146
RSU_55,201.83714000000327
RSU_41,200.87554599999567
RSU_6,196.89964699999837
RSU_82,197.18053900000814
RSU_26,198.41515099999378
RSU_32,196.84164600000076
RSU_33,193.3239409999951
RSU_27,194.09253100000205
RSU_19,194.84291099999973
RSU_31,194.73365999999805
RSU_25,196.48712999999407
RSU_24,190.59320400000433
RSU_30,194.4289310000022
RSU_18,191.8269980000041
RSU_34,191.50715099999798
RSU_20,191.06856200000038
RSU_21,187.80277199999546
RSU_35,188.12401299999328
RSU_23,187.0396449999971
RSU_37,189.65126299999247
RSU_36,188.95166900000186
RSU_22,188.1272229999886
