rsu,time
RSU_13,193.74559299999964
RSU_12,189.9345350000076
RSU_38,187.91100899998855
RSU_10,224.28657999999996
RSU_11,186.78754400000616
RSU_39,187.15347999999358
RSU_15,188.26282899999933
RSU_29,187.68456299998797
RSU_28,188.09718900000735
RSU_14,187.65847100000246
RSU_16,188.65978099999484
RSU_17,187.7596690000064
RSU_58,186.8162389999925
RSU_64,186.40516199999547
RSU_70,187.32333199999994
RSU_71,187.9147040000098
RSU_65,187.44321700000728
RSU_59,189.18424400000367
RSU_8,187.60673799998767
RSU_73,187.8259790000011
RSU_67,188.9564570000075
RSU_66,197.37457999998878
RSU_72,193.56324000000313
RSU_9,188.61818000000494
RSU_76,188.19889100000728
RSU_62,188.22486000000208
RSU_63,188.12960499999463
RSU_77,190.40007299999706
RSU_88,191.83815100000356
RSU_61,200.10442099999636
RSU_75,205.04286600000341
RSU_49,197.74370199999248
RSU_48,193.52009200000612
RSU_74,192.93910499999765
RSU_60,193.26177199999802
RSU_86,190.14882599998964
RSU_79,190.13765600000625
RSU_2,197.8430090000038
RSU_45,192.31859799999802
RSU_51,191.6605600000039
RSU_50,189.15145299999858
RSU_3,198.86359500000253
RSU_44,195.83083000000624
RSU_78,202.58404800000426
RSU_87,194.04644600000756
RSU_85,200.84470400000282
RSU_52,203.74400800000876
RSU_46,194.8325840000034
RSU_1,208.932203999997
RSU_47,210.2497580000054
RSU_0,204.92834700000822
RSU_53,193.56597100000363
RSU_84,206.17983000000822
RSU_80,210.29171599999245
RSU_57,203.59827999999106
RSU_4,198.06669600000896
RSU_43,203.99183900000935
RSU_5,191.34685000000172
RSU_42,197.50862199999392
RSU_56,197.3843199999974
RSU_81,202.24752800000715
RSU_83,209.87832300001173
RSU_40,195.24404200000572
RSU_7,203.12174299999606
RSU_54,193.3085190000129
RSU_68,202.04219799999555
RSU_69,201.8928820000001
RSU_55,194.12721000000602
RSU_41,233.31309799999872
RSU_6,213.16520999999193
RSU_82,189.96071000001393
RSU_26,192.76883600000292
RSU_32,190.2322400000121
RSU_33,189.36365800000203
RSU_27,187.99566099999356
RSU_19,186.95805099999416
RSU_31,187.7204650000058
RSU_25,188.55408600000374
RSU_24,188.6814100000047
RSU_30,189.51836200000253
RSU_18,188.7973239999992
RSU_34,187.33083000000624
RSU_20,187.94057400000747
RSU_21,188.8097909999924
RSU_35,188.86038699999335
RSU_23,187.96934500000498
RSU_37,186.77240699999675
RSU_36,188.55501399999775
RSU_22,187.63333399999829
