rsu,time
RSU_13,196.53407400000287
RSU_12,192.34451999999874
RSU_38,193.44415699999809
RSU_10,191.17917199999647
RSU_11,203.396133000002
RSU_39,197.75700099999813
RSU_15,191.95913900000596
RSU_29,194.85274699999718
RSU_28,194.49803599999723
RSU_14,192.88738400000148
RSU_16,195.2230219999983
RSU_17,191.75669199999538
RSU_58,192.57045300000027
RSU_64,196.65813999999955
RSU_70,194.67751000000135
RSU_71,190.11957999999868
RSU_65,190.4730350000027
RSU_59,190.6958300000042
RSU_8,192.87037599999894
RSU_73,201.43072799999936
RSU_67,191.70688599999994
RSU_66,191.79850199999782
RSU_72,197.05639299999893
RSU_9,198.69001600000047
RSU_76,194.02514399999927
RSU_62,191.2087759999995
RSU_63,201.4881949999981
RSU_77,198.23072800000227
RSU_88,201.32419999999547
RSU_61,203.39839700000448
RSU_75,214.37899399999878
RSU_49,200.69489700000122
RSU_48,198.1991679999992
RSU_74,194.12442100000044
RSU_60,205.15003999999317
RSU_86,197.6803590000054
RSU_79,196.3454270000002
RSU_2,201.9351930000048
RSU_45,217.37893099999928
RSU_51,209.60174499999994
RSU_50,221.2901339999953
RSU_3,218.5697250000012
RSU_44,227.92690900000161
RSU_78,213.3305560000008
RSU_87,228.80207900000096
RSU_85,220.0578949999981
RSU_52,208.36687600000005
RSU_46,203.44428199999675
RSU_1,233.84222600000066
RSU_47,197.82642400000623
RSU_0,193.6346410000042
RSU_53,191.08608200000162
RSU_84,226.12418899999466
RSU_80,195.31333299999824
RSU_57,189.82968000000255
RSU_4,190.52864399999817
RSU_43,192.8530480000045
RSU_5,193.4452969999984
RSU_42,189.93291299999692
RSU_56,190.23702000000048
RSU_81,190.34658900000068
RSU_83,192.19123299999774
RSU_40,189.30361400000402
RSU_7,188.7096739999979
RSU_54,188.494071000001
RSU_68,187.54860200000257
RSU_69,208.75969199999963
RSU_55,188.1696860000011
RSU_41,187.88126499999635
RSU_6,188.8493610000005
RSU_82,187.81109299999662
RSU_26,187.17149999999674
RSU_32,187.2132300000012
RSU_33,188.43574400000216
RSU_27,189.26928100000077
RSU_19,188.78376100000605
RSU_31,187.89413700000296
RSU_25,188.35678700000426
RSU_24,191.22014100000524
RSU_30,186.7649919999967
RSU_18,191.92658400000073
RSU_34,187.86537099999987
RSU_20,187.50793500000145
RSU_21,189.26814500000182
RSU_35,190.67330100000254
RSU_23,186.99395299999742
RSU_37,188.0639760000049
RSU_36,187.21361199999956
RSU_22,187.92026800000167
