rsu,time
RSU_13,192.2998039999984
RSU_12,193.51978699999927
RSU_38,195.43021300000146
RSU_10,216.06071599999996
RSU_11,188.79512499999873
RSU_39,192.5781850000003
RSU_15,194.8620579999988
RSU_29,192.69672099999843
RSU_28,191.5703709999998
RSU_14,191.90725200000088
RSU_16,190.99474900000132
RSU_17,193.0179389999994
RSU_58,201.0482000000011
RSU_64,215.68475399999988
RSU_70,199.82066000000123
RSU_71,196.74450999999863
RSU_65,190.41264299999966
RSU_59,195.65917199999967
RSU_8,194.67531099999906
RSU_73,190.27357200000006
RSU_67,194.25597899999957
RSU_66,191.08838900000046
RSU_72,195.23409399999946
RSU_9,191.41140799999994
RSU_76,194.36933800000043
RSU_62,192.57089199999973
RSU_63,189.3865850000002
RSU_77,187.5725820000007
RSU_88,189.78352500000074
RSU_61,188.2573250000005
RSU_75,193.9432909999996
RSU_49,192.32191800000146
RSU_48,189.7932039999996
RSU_74,192.35106200000155
RSU_60,191.5804879999996
RSU_86,189.86361699999907
RSU_79,189.75595299999986
RSU_2,190.13735799999995
RSU_45,190.65440200000012
RSU_51,189.13223300000027
RSU_50,187.77794499999982
RSU_3,188.85640599999897
RSU_44,190.46818600000188
RSU_78,189.17016700000022
RSU_87,192.6378160000022
RSU_85,210.7969899999989
RSU_52,191.54382500000065
RSU_46,192.19853700000021
RSU_1,191.34013199999754
RSU_47,189.60652699999991
RSU_0,189.85625900000014
RSU_53,189.3753539999998
RSU_84,195.30412400000205
RSU_80,190.31673000000228
RSU_57,187.91552299999967
RSU_4,192.20937599999888
RSU_43,192.1170029999994
RSU_5,187.61582500000077
RSU_42,187.4002909999981
RSU_56,191.2697040000021
RSU_81,191.59156099999745
RSU_83,187.8779910000012
RSU_40,186.35971399999835
RSU_7,188.572745999998
RSU_54,191.38781999999992
RSU_68,188.27994699999908
RSU_69,187.61301900000035
RSU_55,190.03118099999847
RSU_41,187.6725899999983
RSU_6,191.0872390000004
RSU_82,193.69286199999988
RSU_26,192.65918500000043
RSU_32,194.0764620000009
RSU_33,192.0148470000022
RSU_27,191.34551199999987
RSU_19,191.8702880000019
RSU_31,191.11149300000034
RSU_25,188.82333100000324
RSU_24,187.6554589999978
RSU_30,190.9923579999995
RSU_18,191.5421959999985
RSU_34,188.52788399999918
RSU_20,190.37776600000143
RSU_21,193.87019300000247
RSU_35,190.40581100000054
RSU_23,191.63234600000214
RSU_37,188.3740919999982
RSU_36,189.5461780000005
RSU_22,187.9997829999993
