rsu,time
RSU_13,187.35962599999766
RSU_12,193.52494599999773
RSU_38,193.75381100000232
RSU_10,192.4954210000069
RSU_11,189.4404349999968
RSU_39,190.3078549999991
RSU_15,190.0035979999957
RSU_29,190.0848100000003
RSU_28,194.46104300000297
RSU_14,190.59960599999613
RSU_16,190.96617400000105
RSU_17,193.71775900000648
RSU_58,197.17506200000207
RSU_64,191.7581960000025
RSU_70,192.62596699999995
RSU_71,193.34430799999245
RSU_65,192.49782000000414
RSU_59,191.91914899999392
RSU_8,191.40616800000134
RSU_73,190.07012600000598
RSU_67,189.11322500000824
RSU_66,190.33043500001077
RSU_72,195.7114869999932
RSU_9,207.55880299999262
RSU_76,198.6931190000032
RSU_62,202.86110700000427
RSU_63,199.0816610000038
RSU_77,190.1296100000036
RSU_88,191.5904770000052
RSU_61,216.22055899999395
RSU_75,299.0639210000081
RSU_49,298.2961549999891
RSU_48,253.15385000000242
RSU_74,244.48663900000975
RSU_60,239.5196200000064
RSU_86,367.5808209999959
RSU_79,398.6587680000084
RSU_2,329.15613499999745
RSU_45,272.57457499999146
RSU_51,273.32393199999933
RSU_50,273.04827100000693
RSU_3,270.6692489999987
RSU_44,331.3834999999963
RSU_78,465.38754300000437
RSU_87,233.95984099998896
RSU_85,188.6661080000049
RSU_52,189.6097230000014
RSU_46,189.0584760000056
RSU_1,195.03684200000134
RSU_47,231.13691899999685
RSU_0,212.12443700000586
RSU_53,205.18850000000384
RSU_84,197.75982900000236
RSU_80,195.5181850000081
RSU_57,196.25797600000806
RSU_4,198.11132699999143
RSU_43,192.1960240000044
RSU_5,201.5393219999969
RSU_42,188.70450400000846
RSU_56,190.34920599999896
RSU_81,189.11948700000357
RSU_83,195.42250099999364
RSU_40,188.30494499999622
RSU_7,190.33885299999383
RSU_54,190.14503899999545
RSU_68,189.7562969999999
RSU_69,189.31223399999726
RSU_55,190.9055010000011
RSU_41,189.9675130000105
RSU_6,189.93177200001082
RSU_82,192.44960300000093
RSU_26,194.78162000000884
RSU_32,191.01893700000073
RSU_33,190.26657000000705
RSU_27,191.88322899999912
RSU_19,189.81502999999793
RSU_31,229.17393000000448
RSU_25,191.33640699999523
RSU_24,191.45906199999445
RSU_30,189.32071800000267
RSU_18,190.0922600000049
RSU_34,189.04569299999275
RSU_20,188.13451899999927
RSU_21,191.19781499999226
RSU_35,189.54538300000422
RSU_23,189.9529290000064
RSU_37,188.00324700000056
RSU_36,187.5185679999995
RSU_22,188.62454900000012
