RSU,TIME,ROUND
6,171.318478946,1
11,177.228465294,1
8,170.82286757399999,1
2,176.932924829,1
12,176.727462093,1
10,177.58219729500001,1
9,170.795483991,1
3,177.018412309,1
5,177.04552426499998,1
0,178.205726063,1
7,171.03457095,1
4,175.33173367999999,1
1,178.181554201,1
9,177.527058362,2
5,177.95281900700002,2
0,178.116511466,2
7,178.077797186,2
12,178.024708745,2
1,178.19431479999997,2
11,177.842368934,2
4,160.38203567600002,2
10,177.94413109,2
3,176.758491583,2
6,178.01835281599998,2
8,170.50241710699999,2
2,161.119972272,2
7,179.38054568799998,3
6,179.41366361499996,3
12,172.54193554599993,3
3,177.20712478400003,3
4,171.41616292500004,3
1,168.428989763,3
11,178.93990310100003,3
5,178.42322866599994,3
2,170.48749749299998,3
9,178.88105645899998,3
8,179.06284708100003,3
10,179.221763715,3
0,179.32584268699998,3
3,176.980683419,4
5,176.84786865399997,4
1,179.620569799,4
10,172.123053863,4
8,162.77491641100005,4
6,179.15719069,4
11,178.764746737,4
2,178.32207767399996,4
9,178.70383807999997,4
7,179.140383176,4
12,177.95877222000001,4
0,171.484507367,4
4,178.38485224600004,4
4,179.16663155699996,5
12,177.82617825900002,5
11,173.76514116199996,5
10,179.84949440999992,5
9,179.36210523500006,5
6,179.93681761699997,5
2,179.25800800900004,5
3,177.902969825,5
1,174.17149592400006,5
8,179.6203111189999,5
5,172.15102154500005,5
7,173.329338978,5
0,180.0777907040001,5
