RSU,TIME,ROUND
12,181.133561737,1
8,180.98524020600001,1
0,180.040272795,1
11,179.75771584,1
10,172.358318552,1
2,179.889083174,1
5,178.074951389,1
6,179.718596408,1
9,179.772657446,1
7,180.707305179,1
4,171.729078102,1
3,178.0637058,1
1,181.781227099,1
6,179.838414138,2
2,180.109905123,2
1,181.68339592800004,2
4,180.042947783,2
5,179.51406566499998,2
7,180.825872485,2
9,180.01456725199998,2
12,180.58838688699998,2
0,179.774675299,2
8,171.65697384999999,2
11,180.31871416799999,2
10,180.180339433,2
3,179.71790091500003,2
11,179.58914676200004,3
10,179.33067032199995,3
0,167.92073683299998,3
12,172.689165021,3
4,178.32603877100001,3
2,179.35122111000004,3
6,172.16111571600004,3
7,179.94249357900003,3
5,178.58380662000002,3
9,179.28960950300007,3
8,179.787962735,3
3,172.05922157000003,3
1,180.98816785900004,3
9,179.13377886299997,4
7,179.62830846400004,4
1,180.20228766900004,4
6,171.5350293360001,4
3,177.50991595899995,4
4,178.18090385900007,4
12,163.81690538199996,4
11,179.24567514699993,4
5,178.551009173,4
10,179.06562019199998,4
8,179.73011707499995,4
0,179.00861396900007,4
2,171.52727149700002,4
12,181.67821863000006,5
11,181.17994318,5
8,181.29421290200003,5
4,180.28924159300004,5
9,181.19167553900002,5
5,180.577168068,5
2,181.291367584,5
1,182.18686444500008,5
0,180.87580834200003,5
3,179.57791619099999,5
10,181.18223515700004,5
7,181.75412341699996,5
6,180.67477540099992,5
