RSU,TIME,ROUND
0,174.653142867,1
10,178.96143232300003,1
11,179.31645944299999,1
6,179.951804539,1
4,173.49127815399999,1
3,172.485879931,1
2,179.726424049,1
7,179.635333092,1
8,178.892263253,1
5,177.88408249,1
9,173.693840396,1
1,178.829841836,1
12,174.16146610500002,1
5,179.56397444200002,2
11,179.11150071200004,2
10,173.576227168,2
1,173.173120558,2
6,179.953925303,2
8,179.24625069099997,2
2,179.30436210899998,2
0,179.32054678499998,2
7,179.695483293,2
3,171.52032912899998,2
12,178.589639598,2
9,179.406834898,2
4,171.606461607,2
4,179.27723370599995,3
10,179.97425020100002,3
1,172.26307860699995,3
7,180.06623220199998,3
3,176.79473428199992,3
9,179.604562043,3
5,171.90759688899993,3
2,179.47100112200008,3
11,172.58473207600002,3
0,179.36841684800004,3
6,180.02059329000002,3
12,179.022560028,3
8,179.868357747,3
7,173.26779943300005,4
4,172.46995460899996,4
2,162.56663866600002,4
10,179.22670167800004,4
12,178.16113617899998,4
8,179.21777087700002,4
11,178.630725353,4
5,177.55523116300003,4
0,172.35639586399998,4
3,176.07457852899995,4
1,179.22884327499992,4
6,179.217092515,4
9,179.17577031500002,4
3,174.803584967,5
0,177.37047993600004,5
2,174.013570608,5
8,175.4154375720001,5
4,176.61297796500003,5
5,164.62385571599998,5
1,175.05664395400004,5
12,177.14224980899996,5
9,175.71674038899994,5
10,177.80213110500006,5
7,175.431844489,5
6,178.06700747399998,5
11,174.7218751380001,5
