RSU,TIME,ROUND
7,172.519312791,1
6,176.515238396,1
11,171.07735613,1
2,170.522207949,1
12,176.28818819,1
9,172.348299722,1
0,172.462519504,1
10,177.824175187,1
8,177.041352842,1
3,175.243785003,1
1,176.753719859,1
4,175.361484028,1
5,174.67542962899998,1
2,178.34929215499997,2
9,179.679554165,2
0,179.21812424299998,2
10,170.33201545800003,2
1,179.10957060599998,2
5,177.98064996,2
3,178.64042088600002,2
4,179.06895230799998,2
11,179.02849110700004,2
12,179.173516859,2
7,179.668946952,2
8,179.100195662,2
6,178.96464323400002,2
9,180.11855832500004,3
0,179.59541268499999,3
2,178.51175205199996,3
6,179.25060029399998,3
1,179.366643034,3
8,179.68074420999994,3
11,179.486559344,3
5,170.103538415,3
12,179.61760778499996,3
7,173.16076946700002,3
10,179.71732995400004,3
4,171.14068216599998,3
3,178.85967986100002,3
0,180.23678366799993,4
3,170.602332919,4
8,179.92160877699996,4
4,177.51025289400002,4
2,179.230898259,4
1,172.69254984199995,4
7,180.648774603,4
6,172.44767570700003,4
9,180.437390176,4
12,180.13598685699992,4
11,179.81099100900008,4
5,178.91603107100002,4
10,180.45225332100006,4
12,179.58979957400004,5
10,179.87996550399998,5
11,179.38128774400002,5
3,176.91592343700006,5
0,172.64504500400005,5
6,179.24000898000008,5
2,171.38011648400004,5
7,180.22137072199996,5
8,171.78556816499997,5
9,180.00770613199995,5
5,178.513392156,5
4,177.34714340699998,5
1,178.96929217900004,5
