RSU,MSE
RSU_2,2.181064024040523e-07
RSU_3,3.757809312213537e-07
RSU_1,1.084323210407079e-07
RSU_0,6.431367371686464e-08
RSU_4,4.6739311533594563e-07
RSU_5,1.2035703168822298e-07
