RSU,TIME,ROUND
28,200.813702649,1
12,195.08665262399998,1
2,200.273760753,1
17,199.615912269,1
37,194.50955828600001,1
21,201.018689382,1
25,193.301617075,1
0,196.067134568,1
31,192.591747478,1
24,191.718773196,1
6,194.724355026,1
13,200.891211216,1
29,199.597442717,1
15,193.969829558,1
3,200.642653772,1
19,195.458867373,1
39,199.38712276,1
11,196.730679339,1
5,188.997377742,1
30,198.365544562,1
36,194.847104046,1
10,192.40070472,1
22,200.300233674,1
32,197.956629416,1
35,198.554458744,1
33,195.267970188,1
1,198.527384869,1
16,192.410028659,1
8,197.30814682,1
20,193.840311237,1
26,198.661009932,1
7,195.596479249,1
9,199.607111075,1
18,196.165277435,1
14,193.55652708,1
23,186.112887901,1
34,200.616851318,1
4,192.576397741,1
27,201.30207759,1
38,192.696183391,1
21,190.93290158500002,2
30,197.044659385,2
13,198.83021877899998,2
14,192.65343355899998,2
6,197.316356095,2
25,191.783475752,2
31,197.49281007899998,2
34,197.48876162000002,2
19,193.65348821299997,2
3,192.88753303899998,2
32,197.87323814699997,2
8,190.635974962,2
38,192.83698686199997,2
5,196.52370250500002,2
2,191.109834127,2
16,192.215985731,2
33,197.36538286899997,2
29,197.33820482899998,2
17,198.52165342199999,2
15,198.75556580999998,2
12,199.158470675,2
39,192.69942863999998,2
4,190.203738907,2
7,196.44769041599997,2
11,197.49306565899997,2
1,192.459418113,2
28,199.14102911400002,2
22,197.83822098400003,2
9,197.351486157,2
18,192.378710263,2
26,196.39831129299998,2
0,198.960757956,2
35,197.17761979600002,2
10,198.31299382099996,2
20,191.106230079,2
37,197.53004980800003,2
27,197.78414651999998,2
24,191.648505202,2
36,198.317276722,2
23,190.113019865,2
24,189.73506817999998,3
3,199.07309832399994,3
11,191.52309105200004,3
20,199.08462317200002,3
27,191.743369427,3
39,197.95144060900003,3
0,199.08111418800002,3
36,192.14026996400003,3
1,197.26518332,3
5,197.65931412999998,3
21,192.79647562699995,3
12,198.60353582099998,3
15,191.208593,3
25,197.74317946699995,3
17,197.31157566299999,3
29,192.012933056,3
14,197.65071733999997,3
35,198.279566713,3
16,190.43785899299996,3
4,194.6108648,3
26,190.516257348,3
19,199.00528834399995,3
32,189.92413219199995,3
10,198.91139415099997,3
28,191.135526706,3
23,198.63422415199994,3
18,195.729139912,3
2,197.25426982699997,3
7,189.55163249199995,3
34,198.444084932,3
9,192.22724065399996,3
6,198.49020449699998,3
33,190.53511765899998,3
31,191.72944073800005,3
38,198.80815460499997,3
13,190.90618311699996,3
30,197.94364998000003,3
8,197.859935135,3
22,198.82548427500006,3
37,198.67909880500002,3
22,193.14839807600003,4
36,193.56577729700007,4
21,192.54580600400004,4
16,192.63537205399996,4
3,199.249513815,4
34,193.28824847500005,4
14,187.23807308300002,4
30,192.579086468,4
6,198.998245214,4
38,199.28188575799993,4
4,195.43641599600005,4
17,195.95263408699998,4
13,193.41202328999998,4
28,200.014968544,4
18,196.14484098399998,4
39,198.593239154,4
32,196.67719940200004,4
24,192.38016925600004,4
25,192.593632888,4
35,198.71891926800004,4
20,193.2907905579999,4
33,199.46663905000003,4
29,192.962186353,4
19,194.260117701,4
9,198.37061444300002,4
15,199.56816007300006,4
26,196.5037688939999,4
27,197.75398464499995,4
8,180.68599708299996,4
12,198.70674983999993,4
11,192.76604670300003,4
0,199.79423688100007,4
31,197.73698841599992,4
2,197.395319557,4
10,196.83598638600006,4
5,198.25359888399998,4
37,193.28379254699996,4
7,197.46972373100004,4
23,199.69488961599995,4
1,198.085828901,4
15,193.78547598600005,5
36,199.02660147200004,5
25,198.69437935000008,5
22,193.59381243099995,5
39,198.40883877299984,5
7,197.52790233300004,5
32,195.71913221399996,5
38,199.29443278000008,5
9,198.448881122,5
18,185.33937694000008,5
33,192.4424097870001,5
14,191.74707399599993,5
17,196.19759160600006,5
4,190.70764202200007,5
10,196.039150878,5
34,193.40790950099995,5
8,198.4722452189999,5
21,199.23035527000002,5
11,197.51694811300013,5
13,193.54341328300006,5
5,198.04838628000005,5
16,198.0695919750001,5
24,192.249471998,5
31,195.46757024300007,5
20,199.56583543500005,5
19,200.19727546700005,5
28,194.16449909999994,5
0,194.16907079300006,5
23,199.78220425400013,5
29,198.79711806499995,5
30,198.06648578199997,5
2,197.99663297299992,5
37,199.0386384069999,5
1,193.0438569790001,5
35,191.34849503299995,5
27,184.7637420169999,5
12,199.27987227000006,5
3,197.839817186,5
26,191.72339564700007,5
6,190.03820471899996,5
