RSU,TIME,ROUND
36,199.288609546,1
35,191.409927372,1
23,201.052006242,1
21,197.07810957799998,1
38,193.443953786,1
10,194.10158153499998,1
39,191.745633289,1
8,192.54212779099998,1
12,198.66823931,1
0,193.58376389,1
26,192.198000877,1
13,194.777412683,1
34,198.162702201,1
22,191.551599533,1
24,195.165300895,1
28,188.33248119200002,1
30,193.356962129,1
11,191.4518052,1
20,197.12458369499998,1
19,192.233255808,1
2,197.850017724,1
18,191.481109992,1
7,198.264333456,1
25,191.30652196300002,1
16,198.07685757000002,1
5,199.18556196100002,1
33,191.04134896600002,1
6,192.369859891,1
31,196.692088266,1
14,198.33504663,1
9,192.722226234,1
29,197.54874521,1
4,196.767839593,1
32,197.02807366000002,1
27,194.17565108899998,1
15,191.927627201,1
3,199.583057133,1
37,200.53728865,1
1,199.98989967699998,1
17,195.930656294,1
35,188.24620202900002,2
12,190.290356175,2
4,196.48282339199997,2
15,189.735416379,2
7,195.80137259900002,2
29,186.57839255200003,2
23,191.285894705,2
11,172.762261866,2
20,197.237869278,2
3,190.06877750000004,2
33,196.879416568,2
0,182.18319660300003,2
22,196.50562421,2
16,196.07859685100001,2
9,190.253121634,2
34,171.695880424,2
19,197.270430591,2
13,197.191723657,2
5,195.653421246,2
39,189.82394442400002,2
1,196.43041391100002,2
28,195.88432020399998,2
18,189.92551392,2
14,195.388842749,2
25,195.65904626,2
30,196.690720237,2
8,196.493792677,2
24,195.71715659900002,2
37,197.65468463599998,2
36,196.585281168,2
32,187.27974710299998,2
17,196.034363045,2
2,196.613130169,2
27,197.090745108,2
6,195.920712839,2
38,196.959049717,2
26,190.133575056,2
10,196.946963715,2
21,189.790485804,2
31,189.015399927,2
30,196.61830736100006,3
16,195.74294911099997,3
39,190.90866933500007,3
28,191.29178499300002,3
35,192.21700512,3
0,197.02912910399994,3
23,197.570068629,3
8,195.91053238399996,3
21,195.61310500500002,3
38,196.387235287,3
17,190.13026693799998,3
27,191.479845694,3
3,196.98198512199997,3
2,189.99099055,3
34,196.55492722300005,3
7,194.10540360300007,3
31,187.84389253,3
15,189.929238101,3
13,197.023433151,3
10,196.63999122100006,3
6,195.58858164099996,3
11,195.494544336,3
36,187.776874056,3
14,196.42786126900006,3
12,191.85420492699996,3
18,190.82842872700002,3
20,191.650255169,3
4,187.61087038299996,3
26,191.02860503399995,3
33,196.746253362,3
37,197.08902215899997,3
25,196.477034754,3
5,195.69779829700008,3
29,196.37283835600005,3
1,191.37098557400003,3
9,191.04509584500005,3
24,195.51935649499995,3
19,197.50140640600006,3
32,188.55915835299993,3
22,193.16552979400007,3
6,196.1742731610001,4
12,197.724585736,4
1,197.403625681,4
5,190.30311592500004,4
7,189.50708474399994,4
3,197.46763562299998,4
35,193.58382809,4
34,190.605808025,4
4,194.01329132700005,4
25,186.49152900799993,4
11,196.21505297599992,4
10,196.34200350100002,4
18,196.62003122200008,4
36,191.53861256899995,4
30,197.38386512600005,4
0,191.39158295100003,4
15,190.22972938099997,4
17,186.21297269399997,4
39,197.45958048499995,4
26,197.33190851100005,4
32,193.39946207100002,4
9,196.54059388200005,4
8,191.04976557199996,4
24,196.48741200799998,4
38,196.54855088199997,4
21,188.63055843100005,4
31,187.48069681800007,4
22,187.96555528599993,4
20,197.63679435900008,4
14,190.869035833,4
29,197.61087812800008,4
28,196.4850992349999,4
33,190.27358820799998,4
19,197.8056266499999,4
37,188.76135060599995,4
16,196.42359518,4
27,197.70613174200003,4
2,188.82382447399993,4
13,198.08499245100006,4
23,198.18982667400007,4
15,193.72513000699996,5
34,191.01260791000004,5
18,195.14398128000005,5
25,190.71187328000008,5
7,195.1011346109999,5
13,197.40860200500003,5
12,197.7343780399999,5
19,198.62686559200006,5
2,196.68793868299986,5
30,186.88089342199999,5
35,194.12486883899987,5
26,197.30533630500008,5
31,193.09901204200003,5
0,197.63025931499988,5
1,191.5765332190001,5
36,190.328997825,5
6,190.65394272800006,5
10,194.29382846400006,5
23,191.43238174100009,5
37,198.60091695100004,5
21,188.19708732800007,5
17,192.98389766000003,5
32,186.14041750700005,5
39,186.23129944000004,5
22,194.6095263520001,5
8,196.81589754900006,5
24,188.29729153900007,5
11,196.18142142600004,5
28,196.52954924799997,5
38,197.05706065799995,5
14,196.562835435,5
33,190.13103762399987,5
5,182.09596839999995,5
16,196.68249508600002,5
20,197.769152384,5
3,197.56852062100006,5
9,197.38567512800012,5
4,188.53860933800001,5
27,190.47805520999998,5
29,190.49875003,5
