RSU,TIME,ROUND
32,197.543843153,1
22,197.408408219,1
21,193.405524385,1
30,199.78454116,1
5,191.351804864,1
1,189.254988413,1
8,200.05699030899999,1
29,194.431776707,1
16,198.252542938,1
4,193.55894413800002,1
19,200.752162499,1
2,198.331150753,1
9,191.34714249499999,1
34,193.727836705,1
15,200.37073718099998,1
20,194.411328553,1
10,197.27328594300002,1
33,197.841517645,1
0,200.202001288,1
27,198.612171196,1
28,195.338112838,1
12,201.488145211,1
14,194.964820661,1
31,195.604273708,1
11,196.910334266,1
18,192.570318104,1
39,195.801500606,1
24,197.299036584,1
3,194.26615582399998,1
23,196.180548315,1
13,190.03164765,1
25,195.845970481,1
36,200.454416825,1
6,194.72224321099998,1
7,192.127720411,1
26,195.156727072,1
17,189.772689162,1
35,200.55009581000002,1
38,194.654689082,1
37,201.17406741399998,1
23,192.186392116,2
4,190.80665474500003,2
7,196.78113367,2
34,190.474704523,2
18,195.815959639,2
19,191.63105232499998,2
31,198.13111271199998,2
38,197.58822051900003,2
37,197.98485730099998,2
0,196.74317311400003,2
10,190.574237595,2
27,196.88741938700002,2
5,197.628701566,2
1,196.582813522,2
6,190.962703944,2
21,192.25566246,2
28,198.01269808099997,2
16,197.256567896,2
30,190.650540334,2
8,197.113082422,2
29,191.616901295,2
32,196.09848091199999,2
33,190.21718656999997,2
2,197.304252211,2
17,197.024996426,2
24,196.29767539499997,2
26,190.55867234299998,2
11,197.93185887799999,2
15,190.276230684,2
14,191.644231149,2
3,196.62888264400002,2
9,197.69901432399996,2
36,198.317763834,2
20,190.94533284200003,2
35,191.27848841,2
12,199.23249275499998,2
22,197.52936746600002,2
13,197.963690103,2
39,191.50604357299997,2
25,198.302913535,2
20,197.48068305599998,3
26,196.13121902999995,3
19,191.52881501200005,3
13,191.665323828,3
16,191.99039626299998,3
21,197.33559624700007,3
37,191.90469065300005,3
22,191.35348178599997,3
24,195.62936743800003,3
34,196.31195157200005,3
15,196.68737426400003,3
29,197.32929793399995,3
23,197.850826381,3
27,196.02011869100005,3
14,197.50477534100003,3
18,193.55523587499994,3
12,198.89259158200002,3
38,192.32650861500002,3
25,197.27254903299996,3
36,192.574633467,3
28,198.00927733400005,3
33,196.016640069,3
3,191.73772828900002,3
4,187.19010347500006,3
7,196.19931702299994,3
5,191.42384401699996,3
31,192.87224899,3
2,191.78378504900002,3
10,193.55980560300003,3
6,196.88896079800003,3
8,197.03926979200003,3
17,196.54229105300004,3
30,190.98747890499993,3
0,191.760555658,3
9,196.59679068500003,3
1,190.314851491,3
32,190.68502939500007,3
11,197.52045633799997,3
39,197.009032004,3
35,196.81940441399996,3
35,191.088025517,4
7,197.09756783700004,4
22,197.13207022999995,4
29,197.56484242099998,4
28,197.56240826600003,4
2,196.51959441600002,4
9,197.577061437,4
4,190.77441675300008,4
30,196.81836529200007,4
5,197.8955576049999,4
3,196.91989599600004,4
10,188.51968919900003,4
37,191.88960614400003,4
19,197.61993787699998,4
18,194.35693877699998,4
14,190.98256532300002,4
0,197.09166190999997,4
32,196.0724272409999,4
16,197.49349914599998,4
33,190.821919234,4
11,191.582839659,4
12,187.12126206900007,4
25,192.14867799499996,4
38,197.382517604,4
26,196.419028765,4
24,195.673845002,4
20,197.493030095,4
39,197.794845765,4
15,191.04260273,4
31,197.82386449500007,4
13,197.70295504800004,4
36,197.78850011099996,4
6,191.32093287299995,4
34,190.38979300800008,4
8,190.93941680700004,4
21,191.64446782700008,4
27,196.16141220200007,4
17,197.3877411269999,4
1,187.853456026,4
23,191.728972054,4
1,220.4303217680001,5
19,188.66074276999996,5
5,217.47475894100012,5
7,219.51548770700015,5
22,221.55562683799997,5
31,192.64541680799994,5
28,221.57167164800012,5
16,218.79977362300008,5
15,224.080173639,5
18,188.87406249299988,5
32,190.46316770399994,5
20,219.36318725800004,5
37,220.71832580599994,5
2,221.13189102500007,5
17,190.0739501989999,5
6,224.42576418600015,5
38,191.744176734,5
29,222.68076630300004,5
0,218.60493551399998,5
25,217.92322344500008,5
39,219.34515713899998,5
27,219.02711857500003,5
21,187.645529593,5
12,220.08418698699995,5
23,223.09620030199994,5
3,190.7673542209999,5
24,190.30432028099995,5
11,191.301356198,5
34,219.75899471900016,5
10,219.59962780700005,5
26,221.2063387469999,5
9,191.033323461,5
36,191.7395650850001,5
8,220.18282653500012,5
4,191.2224428359999,5
33,189.337430681,5
14,191.37382677200003,5
30,220.38539293099996,5
13,218.78818828499993,5
35,185.22385526899996,5
