RSU,TIME,ROUND
30,195.048910248,1
36,190.87131392,1
20,198.972546765,1
17,198.90904322,1
25,194.05990443800002,1
38,199.38039203099999,1
26,198.997209551,1
4,197.313897904,1
10,192.033158868,1
28,199.711926018,1
21,196.47202968599998,1
32,189.06963342799997,1
24,199.4236797,1
23,189.54161865,1
6,193.253288836,1
7,192.38248453900002,1
5,200.45652698299997,1
8,195.32542403000002,1
0,198.118343286,1
29,192.94141585699998,1
37,199.434362622,1
1,198.457333604,1
19,194.773896891,1
16,189.098477572,1
31,196.719266369,1
22,198.97864502200002,1
35,198.011338754,1
15,199.737588522,1
11,196.40494026899998,1
18,193.594544298,1
34,193.386997046,1
12,194.758226325,1
39,194.175146898,1
13,199.250866239,1
3,193.485827043,1
27,199.27148777899998,1
14,197.41590051699998,1
9,199.829514933,1
33,191.42610770000002,1
2,197.74373721199998,1
2,198.67296856599998,2
3,197.64336543999997,2
36,198.113566714,2
32,190.89764845999997,2
35,197.38059117900002,2
10,197.53333115,2
19,192.34940528299998,2
6,190.76465926300003,2
1,197.23724252899999,2
29,197.83695109500002,2
13,190.82193289900002,2
21,190.912236392,2
12,199.10652821400004,2
34,197.86476131199998,2
11,197.709678446,2
8,192.73266317099998,2
39,197.043723414,2
25,191.996981449,2
18,192.663058936,2
4,177.22214107099998,2
24,191.09393828199998,2
17,196.513980981,2
9,197.91247903000001,2
26,197.80429913700002,2
22,192.88107952500002,2
20,197.86903338,2
5,184.12089526199998,2
30,198.337991068,2
0,192.16833439199996,2
7,182.053898717,2
31,196.550663573,2
15,197.74153309200003,2
28,192.88884692500002,2
33,196.71890957299996,2
27,197.87359140100003,2
23,198.62665766600003,2
38,191.976009494,2
37,197.528106638,2
14,196.98697358900003,2
16,197.034804282,2
21,195.29662137999998,3
11,192.97027027399997,3
0,198.82784318900002,3
37,192.32897079999998,3
19,198.185121767,3
26,198.96762112,3
38,191.013376994,3
12,198.99601184099998,3
25,192.32057547699998,3
22,197.89119802699997,3
17,197.14906332599998,3
29,192.20165665599995,3
34,198.14675155599997,3
39,197.67878752200005,3
7,189.80718372899997,3
6,188.23510432600006,3
32,194.36952663099999,3
28,192.495077701,3
14,191.98669065299998,3
23,198.65861315599994,3
33,189.692871512,3
4,196.97483447500002,3
15,198.67834538199997,3
24,197.42110112299997,3
36,192.69785936400007,3
13,198.706095173,3
9,197.90661770700007,3
30,198.17415286,3
2,198.867241079,3
35,190.45701343199994,3
16,190.433592821,3
18,198.53111517999997,3
5,198.47090534999995,3
10,198.04491232100003,3
27,192.945754808,3
31,196.718264825,3
20,198.189653405,3
8,193.299871151,3
1,197.93973294000006,3
3,188.943793593,3
29,192.57101828500004,4
23,198.4382204599999,4
16,192.36231459199996,4
13,192.9751799830001,4
34,198.649000999,4
21,194.4014913540001,4
5,199.337017833,4
20,192.123471064,4
15,192.941370184,4
22,198.505654425,4
11,190.72764118099997,4
38,198.249407798,4
31,196.94556397199995,4
9,198.65449041599993,4
8,199.839431514,4
28,199.166338645,4
1,193.0247570649999,4
37,193.64773116699996,4
33,195.60642293700005,4
10,190.72983261000002,4
30,199.38871312700007,4
0,199.63452987199992,4
19,199.66362921300004,4
17,197.54534599,4
35,191.25720784700002,4
32,190.46421339899996,4
14,197.47812067200005,4
4,198.40757291600005,4
27,193.12753099999998,4
12,199.59919995000007,4
3,192.4923334030001,4
26,192.08514776699997,4
6,197.80240330100003,4
18,188.32547266300003,4
2,199.01155642700007,4
39,198.48567720200003,4
36,199.23190965100002,4
24,191.92774766399998,4
25,199.04938611600005,4
7,195.33182282899998,4
26,197.70088791199998,5
16,191.49387517699995,5
10,195.10938051899996,5
11,195.05167741599996,5
3,192.09851281099998,5
36,198.72608987399997,5
9,198.2365187480001,5
33,195.3020087309999,5
25,198.1804475309999,5
35,190.4183243,5
12,193.32158700900004,5
18,192.87452818299994,5
14,196.94484751800007,5
6,198.38701012500007,5
19,189.299757086,5
8,193.19504276099997,5
30,198.96955462200003,5
0,198.6879966240001,5
21,189.90391918800003,5
7,190.2749129240001,5
2,198.8937364420001,5
1,197.87179873399998,5
20,192.333601155,5
29,183.63248107899994,5
31,195.97992177000003,5
13,192.31170589499993,5
22,189.82005631999994,5
23,197.76539197499994,5
15,198.66664453600004,5
38,198.2331220650001,5
17,196.8790875159999,5
32,189.8367622830001,5
27,197.64877313599993,5
37,198.64281589799998,5
5,198.32989909100013,5
34,192.3564074420001,5
39,197.65673050100008,5
24,191.406908563,5
28,198.6058237389999,5
4,194.67228298300006,5
