RSU,MSE,ROUND
2,3.3791766895774344e-07,1
5,3.3791766895774344e-07,1
3,3.3791766895774344e-07,1
0,3.3791766895774344e-07,1
4,3.3791766895774344e-07,1
1,3.3791766895774344e-07,1
1,1.0838364232768072e-06,2
2,1.0838364232768072e-06,2
4,1.0838364232768072e-06,2
5,1.0838364232768072e-06,2
0,1.0838364232768072e-06,2
3,1.0838364232768072e-06,2
3,3.561670780527493e-08,3
1,3.561670780527493e-08,3
5,3.561670780527493e-08,3
2,3.561670780527493e-08,3
0,3.561670780527493e-08,3
4,3.561670780527493e-08,3
0,9.94532545206539e-09,4
5,9.94532545206539e-09,4
3,9.94532545206539e-09,4
4,9.94532545206539e-09,4
1,9.94532545206539e-09,4
2,9.94532545206539e-09,4
3,9.142704371356558e-09,5
2,9.142704371356558e-09,5
0,9.142704371356558e-09,5
4,9.142704371356558e-09,5
1,9.142704371356558e-09,5
5,9.142704371356558e-09,5
