RSU,MSE,ROUND
1,4.892172910331283e-06,1
5,4.892172910331283e-06,1
2,4.892172910331283e-06,1
3,4.892172910331283e-06,1
4,4.892172910331283e-06,1
0,4.892172910331283e-06,1
4,2.852216312021483e-07,2
2,2.852216312021483e-07,2
3,2.852216312021483e-07,2
0,2.852216312021483e-07,2
1,2.852216312021483e-07,2
5,2.852216312021483e-07,2
5,6.276991371123586e-08,3
2,6.276991371123586e-08,3
4,6.276991371123586e-08,3
0,6.276991371123586e-08,3
1,6.276991371123586e-08,3
3,6.276991371123586e-08,3
0,1.2882195221664006e-07,4
1,1.2882195221664006e-07,4
4,1.2882195221664006e-07,4
2,1.2882195221664006e-07,4
3,1.2882195221664006e-07,4
5,1.2882195221664006e-07,4
2,5.9774150074076715e-09,5
3,5.9774150074076715e-09,5
1,5.9774150074076715e-09,5
4,5.9774150074076715e-09,5
0,5.9774150074076715e-09,5
5,5.9774150074076715e-09,5
