RSU,MSE,ROUND
4,1.402022604679587e-07,1
3,1.402022604679587e-07,1
2,1.402022604679587e-07,1
0,1.402022604679587e-07,1
1,1.402022604679587e-07,1
5,1.402022604679587e-07,1
2,4.34277495742208e-07,2
5,4.34277495742208e-07,2
0,4.34277495742208e-07,2
3,4.34277495742208e-07,2
4,4.34277495742208e-07,2
1,4.34277495742208e-07,2
0,1.7472082669556244e-09,3
5,1.7472082669556244e-09,3
2,1.7472082669556244e-09,3
1,1.7472082669556244e-09,3
4,1.7472082669556244e-09,3
3,1.7472082669556244e-09,3
1,3.068025478114578e-08,4
4,3.068025478114578e-08,4
5,3.068025478114578e-08,4
3,3.068025478114578e-08,4
0,3.068025478114578e-08,4
2,3.068025478114578e-08,4
2,1.5313696621888084e-07,5
3,1.5313696621888084e-07,5
1,1.5313696621888084e-07,5
0,1.5313696621888084e-07,5
5,1.5313696621888084e-07,5
4,1.5313696621888084e-07,5
