RSU,MSE,ROUND
1,7.058184792185784e-07,1
4,7.058184792185784e-07,1
2,7.058184792185784e-07,1
5,7.058184792185784e-07,1
3,7.058184792185784e-07,1
0,7.058184792185784e-07,1
5,3.415513205595744e-08,2
4,3.415513205595744e-08,2
3,3.415513205595744e-08,2
1,3.415513205595744e-08,2
0,3.415513205595744e-08,2
2,3.415513205595744e-08,2
5,3.8942907565342466e-08,3
4,3.8942907565342466e-08,3
1,3.8942907565342466e-08,3
0,3.8942907565342466e-08,3
2,3.8942907565342466e-08,3
3,3.8942907565342466e-08,3
2,3.40527108733113e-08,4
4,3.40527108733113e-08,4
0,3.40527108733113e-08,4
1,3.40527108733113e-08,4
5,3.40527108733113e-08,4
3,3.40527108733113e-08,4
5,9.151121638240056e-09,5
3,9.151121638240056e-09,5
4,9.151121638240056e-09,5
0,9.151121638240056e-09,5
2,9.151121638240056e-09,5
1,9.151121638240056e-09,5
