RSU,MSE,ROUND
3,7.465591522759496e-08,1
2,7.465591522759496e-08,1
4,7.465591522759496e-08,1
5,7.465591522759496e-08,1
1,7.465591522759496e-08,1
0,7.465591522759496e-08,1
0,1.3691516187464003e-07,2
2,1.3691516187464003e-07,2
1,1.3691516187464003e-07,2
4,1.3691516187464003e-07,2
5,1.3691516187464003e-07,2
3,1.3691516187464003e-07,2
3,2.5378248835750128e-08,3
4,2.5378248835750128e-08,3
5,2.5378248835750128e-08,3
2,2.5378248835750128e-08,3
1,2.5378248835750128e-08,3
0,2.5378248835750128e-08,3
5,1.3701659895559715e-07,4
1,1.3701659895559715e-07,4
3,1.3701659895559715e-07,4
0,1.3701659895559715e-07,4
2,1.3701659895559715e-07,4
4,1.3701659895559715e-07,4
3,7.311204974769225e-09,5
1,7.311204974769225e-09,5
5,7.311204974769225e-09,5
4,7.311204974769225e-09,5
2,7.311204974769225e-09,5
0,7.311204974769225e-09,5
