RSU,TIME,ROUND
5,138.321551597,1
3,138.655201205,1
2,136.94086682,1
1,138.21642064999998,1
0,138.282903849,1
4,137.186847601,1
3,143.282217772,2
2,142.28241525800001,2
0,142.87749867199997,2
1,143.192669262,2
5,143.14940620899998,2
4,142.74471224,2
5,143.968674019,3
0,143.88500771999998,3
3,144.14634062700003,3
4,143.44666901800002,3
2,142.52276354000003,3
1,144.065120971,3
2,140.52189309300002,4
4,141.733022468,4
5,142.426473084,4
3,142.66881263000005,4
1,135.832484927,4
0,142.33654067700002,4
1,142.72496125599992,5
3,143.019988,5
2,140.966430209,5
5,142.701927533,5
4,142.163581904,5
0,142.57252571899994,5
