RSU,TIME,ROUND
0,136.911477254,1
5,136.503114539,1
4,135.09246427,1
2,135.854291201,1
1,135.253158115,1
3,136.420358013,1
3,141.205338057,2
2,141.04498659200001,2
0,141.39712146600002,2
5,141.428906099,2
4,140.84368092599996,2
1,140.74892820799997,2
1,142.53320911600002,3
2,142.335047977,3
4,142.508845833,3
0,143.24784752700003,3
3,142.867324662,3
5,142.966273388,3
0,143.59355420200006,4
3,143.24420389100004,4
2,142.15041902500002,4
5,143.34866833400002,4
4,143.02485739000002,4
1,142.95294591099997,4
0,144.2765420049999,5
1,143.531330034,5
3,143.94089327400002,5
4,143.615664788,5
5,144.072076207,5
2,142.632390794,5
