RSU,TIME,ROUND
3,135.22674929700003,1
4,136.31622826999998,1
5,137.014481656,1
0,134.918401559,1
1,134.941122799,1
2,135.761606876,1
0,139.94325600500002,2
5,141.96854629,2
1,140.228540433,2
2,141.50489270299997,2
4,141.474420642,2
3,140.23052753500002,2
5,143.693439705,3
1,142.114945772,3
0,141.84567814899998,3
4,143.608342004,3
2,143.01239303,3
3,142.058166969,3
2,143.221146647,4
1,142.904220903,4
4,144.46592768000005,4
3,142.912767088,4
0,142.50514967000004,4
5,144.672579294,4
1,142.84905074899996,5
2,143.0263434750001,5
0,142.20522791199994,5
5,144.38690451599996,5
4,143.99863889799997,5
3,142.64246960900005,5
