RSU,TIME,ROUND
2,134.545931873,1
5,133.85841573,1
3,135.86583735800002,1
4,132.329439547,1
1,134.11379933400002,1
0,135.304429513,1
4,135.53673475600002,2
0,138.244231014,2
5,136.37783873100003,2
3,131.821351244,2
2,137.344745339,2
1,137.271981374,2
1,138.95019589700001,3
2,138.91669073000003,3
3,140.27696190300003,3
0,134.106233212,3
5,138.185777208,3
4,137.29845394,3
2,141.937611054,4
1,142.35175924100002,4
4,140.78536776199996,4
3,143.95138548999995,4
5,141.66106007000002,4
0,143.10066339999997,4
5,140.284138245,5
3,142.40999394200003,5
1,141.18454844099995,5
0,136.14351627999997,5
4,139.41046924299997,5
2,140.43017217600004,5
